,emoji,meanings_en,meanings_ru
2769,👨🏾‍❤️‍💋‍👨🏾,"[""kiss: man, man""]","[""поцелуй: человек, человек""]"
2770,👨🏾‍❤‍💋‍👨🏾,"[""kiss: man, man""]","[""поцелуй: человек, человек""]"
2771,👨🏾‍❤️‍💋‍👨🏿,"[""kiss: man, man""]","[""поцелуй: человек, человек""]"
2772,👨🏾‍❤‍💋‍👨🏿,"[""kiss: man, man""]","[""поцелуй: человек, человек""]"
2773,👨🏿‍❤️‍💋‍👨🏻,"[""kiss: man, man""]","[""поцелуй: человек, человек""]"
2774,👨🏿‍❤‍💋‍👨🏻,"[""kiss: man, man""]","[""поцелуй: человек, человек""]"
2775,👨🏿‍❤️‍💋‍👨🏼,"[""kiss: man, man""]","[""поцелуй: человек, человек""]"
2776,👨🏿‍❤‍💋‍👨🏼,"[""kiss: man, man""]","[""поцелуй: человек, человек""]"
2777,👨🏿‍❤️‍💋‍👨🏽,"[""kiss: man, man""]","[""поцелуй: человек, человек""]"
2778,👨🏿‍❤‍💋‍👨🏽,"[""kiss: man, man""]","[""поцелуй: человек, человек""]"
2779,👨🏿‍❤️‍💋‍👨🏾,"[""kiss: man, man""]","[""поцелуй: человек, человек""]"
2780,👨🏿‍❤‍💋‍👨🏾,"[""kiss: man, man""]","[""поцелуй: человек, человек""]"
2781,👨🏿‍❤️‍💋‍👨🏿,"[""kiss: man, man""]","[""поцелуй: человек, человек""]"
2782,👨🏿‍❤‍💋‍👨🏿,"[""kiss: man, man""]","[""поцелуй: человек, человек""]"
2783,👩‍❤️‍💋‍👩,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2784,👩‍❤‍💋‍👩,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2785,👩🏻‍❤️‍💋‍👩🏻,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2786,👩🏻‍❤‍💋‍👩🏻,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2787,👩🏻‍❤️‍💋‍👩🏼,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2788,👩🏻‍❤‍💋‍👩🏼,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2789,👩🏻‍❤️‍💋‍👩🏽,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2790,👩🏻‍❤‍💋‍👩🏽,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2791,👩🏻‍❤️‍💋‍👩🏾,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2792,👩🏻‍❤‍💋‍👩🏾,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2793,👩🏻‍❤️‍💋‍👩🏿,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2794,👩🏻‍❤‍💋‍👩🏿,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2795,👩🏼‍❤️‍💋‍👩🏻,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2796,👩🏼‍❤‍💋‍👩🏻,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2797,👩🏼‍❤️‍💋‍👩🏼,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2798,👩🏼‍❤‍💋‍👩🏼,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2799,👩🏼‍❤️‍💋‍👩🏽,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2800,👩🏼‍❤‍💋‍👩🏽,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2801,👩🏼‍❤️‍💋‍👩🏾,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2802,👩🏼‍❤‍💋‍👩🏾,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2803,👩🏼‍❤️‍💋‍👩🏿,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2804,👩🏼‍❤‍💋‍👩🏿,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2805,👩🏽‍❤️‍💋‍👩🏻,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2806,👩🏽‍❤‍💋‍👩🏻,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2807,👩🏽‍❤️‍💋‍👩🏼,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2808,👩🏽‍❤‍💋‍👩🏼,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2809,👩🏽‍❤️‍💋‍👩🏽,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2810,👩🏽‍❤‍💋‍👩🏽,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2811,👩🏽‍❤️‍💋‍👩🏾,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2812,👩🏽‍❤‍💋‍👩🏾,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2813,👩🏽‍❤️‍💋‍👩🏿,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2814,👩🏽‍❤‍💋‍👩🏿,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2815,👩🏾‍❤️‍💋‍👩🏻,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2816,👩🏾‍❤‍💋‍👩🏻,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2817,👩🏾‍❤️‍💋‍👩🏼,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2818,👩🏾‍❤‍💋‍👩🏼,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2819,👩🏾‍❤️‍💋‍👩🏽,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2820,👩🏾‍❤‍💋‍👩🏽,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2821,👩🏾‍❤️‍💋‍👩🏾,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2822,👩🏾‍❤‍💋‍👩🏾,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2823,👩🏾‍❤️‍💋‍👩🏿,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2824,👩🏾‍❤‍💋‍👩🏿,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2825,👩🏿‍❤️‍💋‍👩🏻,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2826,👩🏿‍❤‍💋‍👩🏻,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2827,👩🏿‍❤️‍💋‍👩🏼,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2828,👩🏿‍❤‍💋‍👩🏼,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2829,👩🏿‍❤️‍💋‍👩🏽,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2830,👩🏿‍❤‍💋‍👩🏽,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2831,👩🏿‍❤️‍💋‍👩🏾,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2832,👩🏿‍❤‍💋‍👩🏾,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2833,👩🏿‍❤️‍💋‍👩🏿,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2834,👩🏿‍❤‍💋‍👩🏿,"[""kiss: woman, woman""]","[""поцелуй: женщина, женщина""]"
2835,💑,"[""couple with heart"", ""couple in love"", ""gender neutral couple"", ""loving couple""]","[""пара с сердцем"", ""пара в любви"", ""Пол нейтральная пара"", ""любящая пара""]"
2836,💑🏻,"[""couple with heart""]","[""пара с сердцем""]"
2837,💑🏼,"[""couple with heart""]","[""пара с сердцем""]"
2838,💑🏽,"[""couple with heart""]","[""пара с сердцем""]"
2839,💑🏾,"[""couple with heart""]","[""пара с сердцем""]"
2840,💑🏿,"[""couple with heart""]","[""пара с сердцем""]"
2841,🧑🏻‍❤️‍🧑🏼,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2842,🧑🏻‍❤‍🧑🏼,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2843,🧑🏻‍❤️‍🧑🏽,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2844,🧑🏻‍❤‍🧑🏽,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2845,🧑🏻‍❤️‍🧑🏾,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2846,🧑🏻‍❤‍🧑🏾,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2847,🧑🏻‍❤️‍🧑🏿,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2848,🧑🏻‍❤‍🧑🏿,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2849,🧑🏼‍❤️‍🧑🏻,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2850,🧑🏼‍❤‍🧑🏻,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2851,🧑🏼‍❤️‍🧑🏽,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2852,🧑🏼‍❤‍🧑🏽,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2853,🧑🏼‍❤️‍🧑🏾,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2854,🧑🏼‍❤‍🧑🏾,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2855,🧑🏼‍❤️‍🧑🏿,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2856,🧑🏼‍❤‍🧑🏿,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2857,🧑🏽‍❤️‍🧑🏻,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2858,🧑🏽‍❤‍🧑🏻,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2859,🧑🏽‍❤️‍🧑🏼,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2860,🧑🏽‍❤‍🧑🏼,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2861,🧑🏽‍❤️‍🧑🏾,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2862,🧑🏽‍❤‍🧑🏾,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2863,🧑🏽‍❤️‍🧑🏿,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2864,🧑🏽‍❤‍🧑🏿,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2865,🧑🏾‍❤️‍🧑🏻,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2866,🧑🏾‍❤‍🧑🏻,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2867,🧑🏾‍❤️‍🧑🏼,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2868,🧑🏾‍❤‍🧑🏼,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2869,🧑🏾‍❤️‍🧑🏽,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2870,🧑🏾‍❤‍🧑🏽,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2871,🧑🏾‍❤️‍🧑🏿,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2872,🧑🏾‍❤‍🧑🏿,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2873,🧑🏿‍❤️‍🧑🏻,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2874,🧑🏿‍❤‍🧑🏻,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2875,🧑🏿‍❤️‍🧑🏼,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2876,🧑🏿‍❤‍🧑🏼,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2877,🧑🏿‍❤️‍🧑🏽,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2878,🧑🏿‍❤‍🧑🏽,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2879,🧑🏿‍❤️‍🧑🏾,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2880,🧑🏿‍❤‍🧑🏾,"[""couple with heart: person, person""]","[""пара с сердцем: человек, человек""]"
2881,👩‍❤️‍👨,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2882,👩‍❤‍👨,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2883,👩🏻‍❤️‍👨🏻,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2884,👩🏻‍❤‍👨🏻,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2885,👩🏻‍❤️‍👨🏼,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2886,👩🏻‍❤‍👨🏼,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2887,👩🏻‍❤️‍👨🏽,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2888,👩🏻‍❤‍👨🏽,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2889,👩🏻‍❤️‍👨🏾,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2890,👩🏻‍❤‍👨🏾,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2891,👩🏻‍❤️‍👨🏿,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2892,👩🏻‍❤‍👨🏿,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2893,👩🏼‍❤️‍👨🏻,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2894,👩🏼‍❤‍👨🏻,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2895,👩🏼‍❤️‍👨🏼,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2896,👩🏼‍❤‍👨🏼,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2897,👩🏼‍❤️‍👨🏽,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2898,👩🏼‍❤‍👨🏽,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2899,👩🏼‍❤️‍👨🏾,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2900,👩🏼‍❤‍👨🏾,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2901,👩🏼‍❤️‍👨🏿,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2902,👩🏼‍❤‍👨🏿,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2903,👩🏽‍❤️‍👨🏻,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2904,👩🏽‍❤‍👨🏻,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2905,👩🏽‍❤️‍👨🏼,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2906,👩🏽‍❤‍👨🏼,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2907,👩🏽‍❤️‍👨🏽,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2908,👩🏽‍❤‍👨🏽,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2909,👩🏽‍❤️‍👨🏾,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2910,👩🏽‍❤‍👨🏾,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2911,👩🏽‍❤️‍👨🏿,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2912,👩🏽‍❤‍👨🏿,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2913,👩🏾‍❤️‍👨🏻,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2914,👩🏾‍❤‍👨🏻,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2915,👩🏾‍❤️‍👨🏼,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2916,👩🏾‍❤‍👨🏼,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2917,👩🏾‍❤️‍👨🏽,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2918,👩🏾‍❤‍👨🏽,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2919,👩🏾‍❤️‍👨🏾,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2920,👩🏾‍❤‍👨🏾,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2921,👩🏾‍❤️‍👨🏿,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2922,👩🏾‍❤‍👨🏿,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2923,👩🏿‍❤️‍👨🏻,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2924,👩🏿‍❤‍👨🏻,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2925,👩🏿‍❤️‍👨🏼,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2926,👩🏿‍❤‍👨🏼,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2927,👩🏿‍❤️‍👨🏽,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2928,👩🏿‍❤‍👨🏽,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2929,👩🏿‍❤️‍👨🏾,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2930,👩🏿‍❤‍👨🏾,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2931,👩🏿‍❤️‍👨🏿,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2932,👩🏿‍❤‍👨🏿,"[""couple with heart: woman, man""]","[""пара с сердцем: женщина, человек""]"
2933,👨‍❤️‍👨,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2934,👨‍❤‍👨,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2935,👨🏻‍❤️‍👨🏻,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2936,👨🏻‍❤‍👨🏻,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2937,👨🏻‍❤️‍👨🏼,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2938,👨🏻‍❤‍👨🏼,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2939,👨🏻‍❤️‍👨🏽,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2940,👨🏻‍❤‍👨🏽,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2941,👨🏻‍❤️‍👨🏾,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2942,👨🏻‍❤‍👨🏾,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2943,👨🏻‍❤️‍👨🏿,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2944,👨🏻‍❤‍👨🏿,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2945,👨🏼‍❤️‍👨🏻,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2946,👨🏼‍❤‍👨🏻,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2947,👨🏼‍❤️‍👨🏼,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2948,👨🏼‍❤‍👨🏼,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2949,👨🏼‍❤️‍👨🏽,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2950,👨🏼‍❤‍👨🏽,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2951,👨🏼‍❤️‍👨🏾,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2952,👨🏼‍❤‍👨🏾,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2953,👨🏼‍❤️‍👨🏿,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2954,👨🏼‍❤‍👨🏿,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2955,👨🏽‍❤️‍👨🏻,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2956,👨🏽‍❤‍👨🏻,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2957,👨🏽‍❤️‍👨🏼,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2958,👨🏽‍❤‍👨🏼,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2959,👨🏽‍❤️‍👨🏽,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2960,👨🏽‍❤‍👨🏽,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2961,👨🏽‍❤️‍👨🏾,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2962,👨🏽‍❤‍👨🏾,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2963,👨🏽‍❤️‍👨🏿,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2964,👨🏽‍❤‍👨🏿,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2965,👨🏾‍❤️‍👨🏻,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2966,👨🏾‍❤‍👨🏻,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2967,👨🏾‍❤️‍👨🏼,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2968,👨🏾‍❤‍👨🏼,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2969,👨🏾‍❤️‍👨🏽,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2970,👨🏾‍❤‍👨🏽,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2971,👨🏾‍❤️‍👨🏾,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2972,👨🏾‍❤‍👨🏾,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2973,👨🏾‍❤️‍👨🏿,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2974,👨🏾‍❤‍👨🏿,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2975,👨🏿‍❤️‍👨🏻,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2976,👨🏿‍❤‍👨🏻,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2977,👨🏿‍❤️‍👨🏼,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2978,👨🏿‍❤‍👨🏼,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2979,👨🏿‍❤️‍👨🏽,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2980,👨🏿‍❤‍👨🏽,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2981,👨🏿‍❤️‍👨🏾,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2982,👨🏿‍❤‍👨🏾,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2983,👨🏿‍❤️‍👨🏿,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2984,👨🏿‍❤‍👨🏿,"[""couple with heart: man, man""]","[""пара с сердцем: человек, человек""]"
2985,👩‍❤️‍👩,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
2986,👩‍❤‍👩,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
2987,👩🏻‍❤️‍👩🏻,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
2988,👩🏻‍❤‍👩🏻,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
2989,👩🏻‍❤️‍👩🏼,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
2990,👩🏻‍❤‍👩🏼,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
2991,👩🏻‍❤️‍👩🏽,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
2992,👩🏻‍❤‍👩🏽,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
2993,👩🏻‍❤️‍👩🏾,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
2994,👩🏻‍❤‍👩🏾,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
2995,👩🏻‍❤️‍👩🏿,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
2996,👩🏻‍❤‍👩🏿,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
2997,👩🏼‍❤️‍👩🏻,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
2998,👩🏼‍❤‍👩🏻,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
2999,👩🏼‍❤️‍👩🏼,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3000,👩🏼‍❤‍👩🏼,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3001,👩🏼‍❤️‍👩🏽,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3002,👩🏼‍❤‍👩🏽,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3003,👩🏼‍❤️‍👩🏾,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3004,👩🏼‍❤‍👩🏾,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3005,👩🏼‍❤️‍👩🏿,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3006,👩🏼‍❤‍👩🏿,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3007,👩🏽‍❤️‍👩🏻,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3008,👩🏽‍❤‍👩🏻,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3009,👩🏽‍❤️‍👩🏼,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3010,👩🏽‍❤‍👩🏼,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3011,👩🏽‍❤️‍👩🏽,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3012,👩🏽‍❤‍👩🏽,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3013,👩🏽‍❤️‍👩🏾,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3014,👩🏽‍❤‍👩🏾,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3015,👩🏽‍❤️‍👩🏿,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3016,👩🏽‍❤‍👩🏿,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3017,👩🏾‍❤️‍👩🏻,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
