,emoji,keywords_ru
2390,🤸🏿‍♀️,"{""темнота"": 564, ""кареринг"": 30, ""женщина"": 1012}"
2391,🤸🏿‍♀,"{""темнота"": 564, ""кареринг"": 30, ""женщина"": 1012}"
2392,🤼,"{""люди"": 30, ""борьба"": 5}"
2393,🤼‍♂️,"{""мужчины"": 31, ""борьба"": 5}"
2394,🤼‍♂,"{""мужчины"": 31, ""борьба"": 5}"
2395,🤼‍♀️,"{""женщины"": 32, ""борьба"": 5}"
2396,🤼‍♀,"{""женщины"": 32, ""борьба"": 5}"
2397,🤽,"{""человек"": 386, ""поло"": 31, ""вода"": 39, ""играть"": 61}"
2398,🤽🏻,"{""вода"": 39, ""поло"": 31, ""свет"": 566, ""человек"": 386, ""играть"": 61}"
2399,🤽🏼,"{""вода"": 39, ""поло"": 31, ""средний свет"": 561, ""человек"": 386, ""играть"": 61}"
2400,🤽🏽,"{""вода"": 39, ""поло"": 31, ""человек"": 386, ""средний"": 566, ""играть"": 61}"
2401,🤽🏾,"{""вода"": 39, ""поло"": 31, ""человек"": 386, ""средний парк"": 561, ""играть"": 61}"
2402,🤽🏿,"{""вода"": 39, ""поло"": 31, ""человек"": 386, ""темнота"": 564, ""играть"": 61}"
2403,🤽‍♂️,"{""поло"": 31, ""человек"": 1003, ""вода"": 39, ""играть"": 61}"
2404,🤽‍♂,"{""поло"": 31, ""человек"": 1003, ""вода"": 39, ""играть"": 61}"
2405,🤽🏻‍♂️,"{""вода"": 39, ""поло"": 31, ""свет"": 566, ""человек"": 1003, ""играть"": 61}"
2406,🤽🏻‍♂,"{""вода"": 39, ""поло"": 31, ""свет"": 566, ""человек"": 1003, ""играть"": 61}"
2407,🤽🏼‍♂️,"{""вода"": 39, ""поло"": 31, ""средний свет"": 561, ""человек"": 1003, ""играть"": 61}"
2408,🤽🏼‍♂,"{""вода"": 39, ""поло"": 31, ""средний свет"": 561, ""человек"": 1003, ""играть"": 61}"
2409,🤽🏽‍♂️,"{""вода"": 39, ""поло"": 31, ""человек"": 1003, ""средний"": 566, ""играть"": 61}"
2410,🤽🏽‍♂,"{""вода"": 39, ""поло"": 31, ""человек"": 1003, ""средний"": 566, ""играть"": 61}"
2411,🤽🏾‍♂️,"{""вода"": 39, ""поло"": 31, ""средний парк"": 561, ""человек"": 1003, ""играть"": 61}"
2412,🤽🏾‍♂,"{""вода"": 39, ""поло"": 31, ""средний парк"": 561, ""человек"": 1003, ""играть"": 61}"
2413,🤽🏿‍♂️,"{""вода"": 39, ""поло"": 31, ""человек"": 1003, ""темнота"": 564, ""играть"": 61}"
2414,🤽🏿‍♂,"{""вода"": 39, ""поло"": 31, ""человек"": 1003, ""темнота"": 564, ""играть"": 61}"
2415,🤽‍♀️,"{""поло"": 31, ""женщина"": 1012, ""вода"": 39, ""играть"": 61}"
2416,🤽‍♀,"{""поло"": 31, ""женщина"": 1012, ""вода"": 39, ""играть"": 61}"
2417,🤽🏻‍♀️,"{""вода"": 39, ""поло"": 31, ""свет"": 566, ""женщина"": 1012, ""играть"": 61}"
2418,🤽🏻‍♀,"{""вода"": 39, ""поло"": 31, ""свет"": 566, ""женщина"": 1012, ""играть"": 61}"
2419,🤽🏼‍♀️,"{""вода"": 39, ""поло"": 31, ""средний свет"": 561, ""женщина"": 1012, ""играть"": 61}"
2420,🤽🏼‍♀,"{""вода"": 39, ""поло"": 31, ""средний свет"": 561, ""женщина"": 1012, ""играть"": 61}"
2421,🤽🏽‍♀️,"{""вода"": 39, ""поло"": 31, ""средний"": 566, ""женщина"": 1012, ""играть"": 61}"
2422,🤽🏽‍♀,"{""вода"": 39, ""поло"": 31, ""средний"": 566, ""женщина"": 1012, ""играть"": 61}"
2423,🤽🏾‍♀️,"{""вода"": 39, ""поло"": 31, ""средний парк"": 561, ""женщина"": 1012, ""играть"": 61}"
2424,🤽🏾‍♀,"{""вода"": 39, ""поло"": 31, ""средний парк"": 561, ""женщина"": 1012, ""играть"": 61}"
2425,🤽🏿‍♀️,"{""вода"": 39, ""поло"": 31, ""женщина"": 1012, ""темнота"": 564, ""играть"": 61}"
2426,🤽🏿‍♀,"{""вода"": 39, ""поло"": 31, ""женщина"": 1012, ""темнота"": 564, ""играть"": 61}"
2427,🤾,"{""человек"": 386, ""гандбол"": 30, ""играть"": 61}"
2428,🤾🏻,"{""свет"": 566, ""человек"": 386, ""гандбол"": 30, ""играть"": 61}"
2429,🤾🏼,"{""средний свет"": 561, ""человек"": 386, ""гандбол"": 30, ""играть"": 61}"
2430,🤾🏽,"{""человек"": 386, ""средний"": 566, ""гандбол"": 30, ""играть"": 61}"
2431,🤾🏾,"{""человек"": 386, ""средний парк"": 561, ""гандбол"": 30, ""играть"": 61}"
2432,🤾🏿,"{""человек"": 386, ""гандбол"": 30, ""темнота"": 564, ""играть"": 61}"
2433,🤾‍♂️,"{""гандбол"": 30, ""человек"": 1003, ""играть"": 61}"
2434,🤾‍♂,"{""гандбол"": 30, ""человек"": 1003, ""играть"": 61}"
2435,🤾🏻‍♂️,"{""свет"": 566, ""человек"": 1003, ""гандбол"": 30, ""играть"": 61}"
2436,🤾🏻‍♂,"{""свет"": 566, ""человек"": 1003, ""гандбол"": 30, ""играть"": 61}"
2437,🤾🏼‍♂️,"{""средний свет"": 561, ""человек"": 1003, ""гандбол"": 30, ""играть"": 61}"
2438,🤾🏼‍♂,"{""средний свет"": 561, ""человек"": 1003, ""гандбол"": 30, ""играть"": 61}"
2439,🤾🏽‍♂️,"{""человек"": 1003, ""средний"": 566, ""гандбол"": 30, ""играть"": 61}"
2440,🤾🏽‍♂,"{""человек"": 1003, ""средний"": 566, ""гандбол"": 30, ""играть"": 61}"
2441,🤾🏾‍♂️,"{""средний парк"": 561, ""человек"": 1003, ""гандбол"": 30, ""играть"": 61}"
2442,🤾🏾‍♂,"{""средний парк"": 561, ""человек"": 1003, ""гандбол"": 30, ""играть"": 61}"
2443,🤾🏿‍♂️,"{""человек"": 1003, ""гандбол"": 30, ""темнота"": 564, ""играть"": 61}"
2444,🤾🏿‍♂,"{""человек"": 1003, ""гандбол"": 30, ""темнота"": 564, ""играть"": 61}"
2445,🤾‍♀️,"{""гандбол"": 30, ""женщина"": 1012, ""играть"": 61}"
2446,🤾‍♀,"{""гандбол"": 30, ""женщина"": 1012, ""играть"": 61}"
2447,🤾🏻‍♀️,"{""свет"": 566, ""гандбол"": 30, ""женщина"": 1012, ""играть"": 61}"
2448,🤾🏻‍♀,"{""свет"": 566, ""гандбол"": 30, ""женщина"": 1012, ""играть"": 61}"
2449,🤾🏼‍♀️,"{""средний свет"": 561, ""гандбол"": 30, ""женщина"": 1012, ""играть"": 61}"
2450,🤾🏼‍♀,"{""средний свет"": 561, ""гандбол"": 30, ""женщина"": 1012, ""играть"": 61}"
2451,🤾🏽‍♀️,"{""средний"": 566, ""гандбол"": 30, ""женщина"": 1012, ""играть"": 61}"
2452,🤾🏽‍♀,"{""средний"": 566, ""гандбол"": 30, ""женщина"": 1012, ""играть"": 61}"
2453,🤾🏾‍♀️,"{""средний парк"": 561, ""гандбол"": 30, ""женщина"": 1012, ""играть"": 61}"
2454,🤾🏾‍♀,"{""средний парк"": 561, ""гандбол"": 30, ""женщина"": 1012, ""играть"": 61}"
2455,🤾🏿‍♀️,"{""женщина"": 1012, ""гандбол"": 30, ""темнота"": 564, ""играть"": 61}"
2456,🤾🏿‍♀,"{""женщина"": 1012, ""гандбол"": 30, ""темнота"": 564, ""играть"": 61}"
2457,🤹,"{""Жалоба"": 30, ""человек"": 386, ""жонглер"": 5}"
2458,🤹🏻,"{""Жалоба"": 30, ""свет"": 566, ""человек"": 386}"
2459,🤹🏼,"{""Жалоба"": 30, ""средний свет"": 561, ""человек"": 386}"
2460,🤹🏽,"{""Жалоба"": 30, ""человек"": 386, ""средний"": 566}"
2461,🤹🏾,"{""Жалоба"": 30, ""человек"": 386, ""средний парк"": 561}"
2462,🤹🏿,"{""Жалоба"": 30, ""человек"": 386, ""темнота"": 564}"
2463,🤹‍♂️,"{""Жалоба"": 30, ""мужчина"": 15, ""человек"": 1003, ""жонглер"": 5}"
2464,🤹‍♂,"{""Жалоба"": 30, ""мужчина"": 15, ""человек"": 1003, ""жонглер"": 5}"
2465,🤹🏻‍♂️,"{""Жалоба"": 30, ""свет"": 566, ""человек"": 1003}"
2466,🤹🏻‍♂,"{""Жалоба"": 30, ""свет"": 566, ""человек"": 1003}"
2467,🤹🏼‍♂️,"{""Жалоба"": 30, ""средний свет"": 561, ""человек"": 1003}"
2468,🤹🏼‍♂,"{""Жалоба"": 30, ""средний свет"": 561, ""человек"": 1003}"
2469,🤹🏽‍♂️,"{""Жалоба"": 30, ""человек"": 1003, ""средний"": 566}"
2470,🤹🏽‍♂,"{""Жалоба"": 30, ""человек"": 1003, ""средний"": 566}"
2471,🤹🏾‍♂️,"{""Жалоба"": 30, ""средний парк"": 561, ""человек"": 1003}"
2472,🤹🏾‍♂,"{""Жалоба"": 30, ""средний парк"": 561, ""человек"": 1003}"
2473,🤹🏿‍♂️,"{""Жалоба"": 30, ""человек"": 1003, ""темнота"": 564}"
2474,🤹🏿‍♂,"{""Жалоба"": 30, ""человек"": 1003, ""темнота"": 564}"
2475,🤹‍♀️,"{""Жалоба"": 30, ""женщина"": 14, ""жонглер"": 5}"
2476,🤹‍♀,"{""Жалоба"": 30, ""женщина"": 14, ""жонглер"": 5}"
2477,🤹🏻‍♀️,"{""Жалоба"": 30, ""свет"": 566, ""женщина"": 1012}"
2478,🤹🏻‍♀,"{""Жалоба"": 30, ""свет"": 566, ""женщина"": 1012}"
2479,🤹🏼‍♀️,"{""Жалоба"": 30, ""средний свет"": 561, ""женщина"": 1012}"
2480,🤹🏼‍♀,"{""Жалоба"": 30, ""средний свет"": 561, ""женщина"": 1012}"
2481,🤹🏽‍♀️,"{""Жалоба"": 30, ""средний"": 566, ""женщина"": 1012}"
2482,🤹🏽‍♀,"{""Жалоба"": 30, ""средний"": 566, ""женщина"": 1012}"
2483,🤹🏾‍♀️,"{""Жалоба"": 30, ""средний парк"": 561, ""женщина"": 1012}"
2484,🤹🏾‍♀,"{""Жалоба"": 30, ""средний парк"": 561, ""женщина"": 1012}"
2485,🤹🏿‍♀️,"{""Жалоба"": 30, ""женщина"": 1012, ""темнота"": 564}"
2486,🤹🏿‍♀,"{""Жалоба"": 30, ""женщина"": 1012, ""темнота"": 564}"
2487,🧘,"{""йога"": 1, ""позиция"": 30, ""человек"": 386, ""лотос"": 30, ""медитации"": 1}"
2488,🧘🏻,"{""позиция"": 30, ""свет"": 566, ""человек"": 386, ""лотос"": 30}"
2489,🧘🏼,"{""позиция"": 30, ""средний свет"": 561, ""человек"": 386, ""лотос"": 30}"
2490,🧘🏽,"{""позиция"": 30, ""человек"": 386, ""средний"": 566, ""лотос"": 30}"
2491,🧘🏾,"{""позиция"": 30, ""человек"": 386, ""средний парк"": 561, ""лотос"": 30}"
2492,🧘🏿,"{""позиция"": 30, ""человек"": 386, ""лотос"": 30, ""темнота"": 564}"
2493,🧘‍♂️,"{""лотос"": 30, ""человек"": 1003, ""позиция"": 30}"
2494,🧘‍♂,"{""лотос"": 30, ""человек"": 1003, ""позиция"": 30}"
2495,🧘🏻‍♂️,"{""позиция"": 30, ""свет"": 566, ""человек"": 1003, ""лотос"": 30}"
2496,🧘🏻‍♂,"{""позиция"": 30, ""свет"": 566, ""человек"": 1003, ""лотос"": 30}"
2497,🧘🏼‍♂️,"{""позиция"": 30, ""средний свет"": 561, ""человек"": 1003, ""лотос"": 30}"
2498,🧘🏼‍♂,"{""позиция"": 30, ""средний свет"": 561, ""человек"": 1003, ""лотос"": 30}"
2499,🧘🏽‍♂️,"{""позиция"": 30, ""человек"": 1003, ""средний"": 566, ""лотос"": 30}"
2500,🧘🏽‍♂,"{""позиция"": 30, ""человек"": 1003, ""средний"": 566, ""лотос"": 30}"
2501,🧘🏾‍♂️,"{""позиция"": 30, ""средний парк"": 561, ""человек"": 1003, ""лотос"": 30}"
2502,🧘🏾‍♂,"{""позиция"": 30, ""средний парк"": 561, ""человек"": 1003, ""лотос"": 30}"
2503,🧘🏿‍♂️,"{""позиция"": 30, ""человек"": 1003, ""лотос"": 30, ""темнота"": 564}"
2504,🧘🏿‍♂,"{""позиция"": 30, ""человек"": 1003, ""лотос"": 30, ""темнота"": 564}"
2505,🧘‍♀️,"{""лотос"": 30, ""женщина"": 1012, ""позиция"": 30}"
2506,🧘‍♀,"{""лотос"": 30, ""женщина"": 1012, ""позиция"": 30}"
2507,🧘🏻‍♀️,"{""позиция"": 30, ""свет"": 566, ""лотос"": 30, ""женщина"": 1012}"
2508,🧘🏻‍♀,"{""позиция"": 30, ""свет"": 566, ""лотос"": 30, ""женщина"": 1012}"
2509,🧘🏼‍♀️,"{""позиция"": 30, ""средний свет"": 561, ""лотос"": 30, ""женщина"": 1012}"
2510,🧘🏼‍♀,"{""позиция"": 30, ""средний свет"": 561, ""лотос"": 30, ""женщина"": 1012}"
2511,🧘🏽‍♀️,"{""позиция"": 30, ""средний"": 566, ""лотос"": 30, ""женщина"": 1012}"
2512,🧘🏽‍♀,"{""позиция"": 30, ""средний"": 566, ""лотос"": 30, ""женщина"": 1012}"
2513,🧘🏾‍♀️,"{""позиция"": 30, ""средний парк"": 561, ""лотос"": 30, ""женщина"": 1012}"
2514,🧘🏾‍♀,"{""позиция"": 30, ""средний парк"": 561, ""лотос"": 30, ""женщина"": 1012}"
2515,🧘🏿‍♀️,"{""позиция"": 30, ""женщина"": 1012, ""лотос"": 30, ""темнота"": 564}"
2516,🧘🏿‍♀,"{""позиция"": 30, ""женщина"": 1012, ""лотос"": 30, ""темнота"": 564}"
2517,🛀,"{""принимать"": 7, ""ванна"": 7, ""горячее"": 11, ""человек"": 386, ""купание"": 1}"
2518,🛀🏻,"{""принимать"": 7, ""ванна"": 7, ""свет"": 566, ""человек"": 386}"
2519,🛀🏼,"{""принимать"": 7, ""средний свет"": 561, ""ванна"": 7, ""человек"": 386}"
2520,🛀🏽,"{""принимать"": 7, ""ванна"": 7, ""человек"": 386, ""средний"": 566}"
2521,🛀🏾,"{""принимать"": 7, ""ванна"": 7, ""человек"": 386, ""средний парк"": 561}"
2522,🛀🏿,"{""принимать"": 7, ""ванна"": 7, ""человек"": 386, ""темнота"": 564}"
2523,🛌,"{""человек"": 386, ""кровать"": 8}"
2524,🛌🏻,"{""кровать"": 8, ""свет"": 566, ""человек"": 386}"
2525,🛌🏼,"{""кровать"": 8, ""средний свет"": 561, ""человек"": 386}"
2526,🛌🏽,"{""кровать"": 8, ""человек"": 386, ""средний"": 566}"
2527,🛌🏾,"{""кровать"": 8, ""человек"": 386, ""средний парк"": 561}"
2528,🛌🏿,"{""кровать"": 8, ""человек"": 386, ""темнота"": 564}"
2529,🧑‍🤝‍🧑,"{""несоответствие"": 1, ""пара"": 207, ""холдинг"": 104, ""руки"": 131, ""пол"": 6, ""люди"": 30, ""включительно"": 1, ""нейтральный"": 8}"
2530,🧑🏻‍🤝‍🧑🏻,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""люди"": 30}"
2531,🧑🏻‍🤝‍🧑🏼,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""свет"": 566, ""люди"": 30}"
2532,🧑🏻‍🤝‍🧑🏽,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""люди"": 30, ""средний"": 566}"
2533,🧑🏻‍🤝‍🧑🏾,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""люди"": 30, ""средний парк"": 561}"
2534,🧑🏻‍🤝‍🧑🏿,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""люди"": 30, ""темнота"": 564}"
2535,🧑🏼‍🤝‍🧑🏻,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""свет"": 566, ""люди"": 30}"
2536,🧑🏼‍🤝‍🧑🏼,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""люди"": 30}"
2537,🧑🏼‍🤝‍🧑🏽,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""люди"": 30, ""средний"": 566}"
2538,🧑🏼‍🤝‍🧑🏾,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""люди"": 30, ""средний парк"": 561}"
2539,🧑🏼‍🤝‍🧑🏿,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""люди"": 30, ""темнота"": 564}"
2540,🧑🏽‍🤝‍🧑🏻,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""люди"": 30, ""средний"": 566}"
2541,🧑🏽‍🤝‍🧑🏼,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""люди"": 30, ""средний"": 566}"
2542,🧑🏽‍🤝‍🧑🏽,"{""холдинг"": 104, ""руки"": 131, ""люди"": 30, ""средний"": 566}"
2543,🧑🏽‍🤝‍🧑🏾,"{""холдинг"": 104, ""руки"": 131, ""люди"": 30, ""средний парк"": 561, ""средний"": 566}"
2544,🧑🏽‍🤝‍🧑🏿,"{""холдинг"": 104, ""руки"": 131, ""люди"": 30, ""средний"": 566, ""темнота"": 564}"
2545,🧑🏾‍🤝‍🧑🏻,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""люди"": 30, ""средний парк"": 561}"
2546,🧑🏾‍🤝‍🧑🏼,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""люди"": 30, ""средний парк"": 561}"
2547,🧑🏾‍🤝‍🧑🏽,"{""холдинг"": 104, ""руки"": 131, ""люди"": 30, ""средний парк"": 561, ""средний"": 566}"
2548,🧑🏾‍🤝‍🧑🏾,"{""холдинг"": 104, ""руки"": 131, ""люди"": 30, ""средний парк"": 561}"
2549,🧑🏾‍🤝‍🧑🏿,"{""холдинг"": 104, ""руки"": 131, ""люди"": 30, ""средний парк"": 561, ""темнота"": 564}"
2550,🧑🏿‍🤝‍🧑🏻,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""люди"": 30, ""темнота"": 564}"
2551,🧑🏿‍🤝‍🧑🏼,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""люди"": 30, ""темнота"": 564}"
2552,🧑🏿‍🤝‍🧑🏽,"{""холдинг"": 104, ""руки"": 131, ""люди"": 30, ""средний"": 566, ""темнота"": 564}"
2553,🧑🏿‍🤝‍🧑🏾,"{""холдинг"": 104, ""руки"": 131, ""люди"": 30, ""средний парк"": 561, ""темнота"": 564}"
2554,🧑🏿‍🤝‍🧑🏿,"{""холдинг"": 104, ""руки"": 131, ""люди"": 30, ""темнота"": 564}"
2555,👭,"{""женщины"": 32, ""пара"": 207, ""лесбиянка"": 1, ""холдинг"": 104, ""руки"": 131}"
2556,👭🏻,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""свет"": 566}"
2557,👩🏻‍🤝‍👩🏼,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""свет"": 566}"
2558,👩🏻‍🤝‍👩🏽,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""средний"": 566}"
2559,👩🏻‍🤝‍👩🏾,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""средний парк"": 561}"
2560,👩🏻‍🤝‍👩🏿,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""темнота"": 564}"
2561,👩🏼‍🤝‍👩🏻,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""свет"": 566}"
2562,👭🏼,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний свет"": 561}"
2563,👩🏼‍🤝‍👩🏽,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""средний"": 566}"
2564,👩🏼‍🤝‍👩🏾,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""средний парк"": 561}"
2565,👩🏼‍🤝‍👩🏿,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""темнота"": 564}"
2566,👩🏽‍🤝‍👩🏻,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""средний"": 566}"
2567,👩🏽‍🤝‍👩🏼,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""средний"": 566}"
2568,👭🏽,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний"": 566}"
2569,👩🏽‍🤝‍👩🏾,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний парк"": 561, ""средний"": 566}"
2570,👩🏽‍🤝‍👩🏿,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний"": 566, ""темнота"": 564}"
2571,👩🏾‍🤝‍👩🏻,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""средний парк"": 561}"
2572,👩🏾‍🤝‍👩🏼,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""средний парк"": 561}"
2573,👩🏾‍🤝‍👩🏽,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний парк"": 561, ""средний"": 566}"
2574,👭🏾,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний парк"": 561}"
2575,👩🏾‍🤝‍👩🏿,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний парк"": 561, ""темнота"": 564}"
2576,👩🏿‍🤝‍👩🏻,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""темнота"": 564}"
2577,👩🏿‍🤝‍👩🏼,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""темнота"": 564}"
2578,👩🏿‍🤝‍👩🏽,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний"": 566, ""темнота"": 564}"
2579,👩🏿‍🤝‍👩🏾,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""средний парк"": 561, ""темнота"": 564}"
2580,👭🏿,"{""женщины"": 32, ""холдинг"": 104, ""руки"": 131, ""темнота"": 564}"
2581,👫,"{""гетеросексуалист"": 1, ""пара"": 207, ""холдинг"": 104, ""руки"": 131, ""человек"": 1003, ""женщина"": 1012, ""прямо"": 4}"
2582,👫🏻,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""человек"": 1003, ""женщина"": 1012}"
2583,👩🏻‍🤝‍👨🏼,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""свет"": 566, ""человек"": 1003, ""женщина"": 1012}"
2584,👩🏻‍🤝‍👨🏽,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""человек"": 1003, ""средний"": 566, ""женщина"": 1012}"
2585,👩🏻‍🤝‍👨🏾,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""средний парк"": 561, ""человек"": 1003, ""женщина"": 1012}"
2586,👩🏻‍🤝‍👨🏿,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""женщина"": 1012, ""человек"": 1003, ""темнота"": 564}"
2587,👩🏼‍🤝‍👨🏻,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""свет"": 566, ""человек"": 1003, ""женщина"": 1012}"
2588,👫🏼,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""человек"": 1003, ""женщина"": 1012}"
2589,👩🏼‍🤝‍👨🏽,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""человек"": 1003, ""средний"": 566, ""женщина"": 1012}"
2590,👩🏼‍🤝‍👨🏾,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""средний парк"": 561, ""человек"": 1003, ""женщина"": 1012}"
2591,👩🏼‍🤝‍👨🏿,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""женщина"": 1012, ""человек"": 1003, ""темнота"": 564}"
2592,👩🏽‍🤝‍👨🏻,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""человек"": 1003, ""средний"": 566, ""женщина"": 1012}"
2593,👩🏽‍🤝‍👨🏼,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""человек"": 1003, ""средний"": 566, ""женщина"": 1012}"
2594,👫🏽,"{""холдинг"": 104, ""руки"": 131, ""человек"": 1003, ""средний"": 566, ""женщина"": 1012}"
2595,👩🏽‍🤝‍👨🏾,"{""холдинг"": 104, ""руки"": 131, ""средний парк"": 561, ""человек"": 1003, ""средний"": 566, ""женщина"": 1012}"
2596,👩🏽‍🤝‍👨🏿,"{""холдинг"": 104, ""руки"": 131, ""женщина"": 1012, ""человек"": 1003, ""средний"": 566, ""темнота"": 564}"
2597,👩🏾‍🤝‍👨🏻,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""средний парк"": 561, ""человек"": 1003, ""женщина"": 1012}"
2598,👩🏾‍🤝‍👨🏼,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""средний парк"": 561, ""человек"": 1003, ""женщина"": 1012}"
2599,👩🏾‍🤝‍👨🏽,"{""холдинг"": 104, ""руки"": 131, ""средний парк"": 561, ""человек"": 1003, ""средний"": 566, ""женщина"": 1012}"
2600,👫🏾,"{""холдинг"": 104, ""руки"": 131, ""средний парк"": 561, ""человек"": 1003, ""женщина"": 1012}"
2601,👩🏾‍🤝‍👨🏿,"{""холдинг"": 104, ""руки"": 131, ""средний парк"": 561, ""женщина"": 1012, ""человек"": 1003, ""темнота"": 564}"
2602,👩🏿‍🤝‍👨🏻,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""женщина"": 1012, ""человек"": 1003, ""темнота"": 564}"
2603,👩🏿‍🤝‍👨🏼,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""женщина"": 1012, ""человек"": 1003, ""темнота"": 564}"
2604,👩🏿‍🤝‍👨🏽,"{""холдинг"": 104, ""руки"": 131, ""женщина"": 1012, ""человек"": 1003, ""средний"": 566, ""темнота"": 564}"
2605,👩🏿‍🤝‍👨🏾,"{""холдинг"": 104, ""руки"": 131, ""средний парк"": 561, ""женщина"": 1012, ""человек"": 1003, ""темнота"": 564}"
2606,👫🏿,"{""холдинг"": 104, ""руки"": 131, ""женщина"": 1012, ""человек"": 1003, ""темнота"": 564}"
2607,👬,"{""пара"": 207, ""холдинг"": 104, ""руки"": 131, ""гей"": 2, ""мужчины"": 31}"
2608,👬🏻,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""мужчины"": 31}"
2609,👨🏻‍🤝‍👨🏼,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""свет"": 566, ""мужчины"": 31}"
2610,👨🏻‍🤝‍👨🏽,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""мужчины"": 31, ""средний"": 566}"
2611,👨🏻‍🤝‍👨🏾,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""средний парк"": 561, ""мужчины"": 31}"
2612,👨🏻‍🤝‍👨🏿,"{""холдинг"": 104, ""руки"": 131, ""свет"": 566, ""мужчины"": 31, ""темнота"": 564}"
2613,👨🏼‍🤝‍👨🏻,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""свет"": 566, ""мужчины"": 31}"
2614,👬🏼,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""мужчины"": 31}"
2615,👨🏼‍🤝‍👨🏽,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""мужчины"": 31, ""средний"": 566}"
2616,👨🏼‍🤝‍👨🏾,"{""холдинг"": 104, ""руки"": 131, ""средний свет"": 561, ""средний парк"": 561, ""мужчины"": 31}"
