,emoji,meanings,words,poses
1822,💇‍♀️,"[""Woman Getting Haircut""]","[""haircut"", ""getting"", ""woman""]","{""woman"": ""NOUN"", ""getting"": ""NOUN"", ""haircut"": ""NOUN""}"
1823,💇‍♀,"[""Woman Getting Haircut""]","[""haircut"", ""getting"", ""woman""]","{""woman"": ""NOUN"", ""getting"": ""NOUN"", ""haircut"": ""NOUN""}"
1824,💇🏻‍♀️,"[""Woman Getting Haircut: Light Skin Tone""]","[""skin"", ""getting"", ""tone"", ""woman"", ""haircut"", ""light"", "":""]","{""woman"": ""NOUN"", ""getting"": ""VERB"", ""haircut"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1825,💇🏻‍♀,"[""Woman Getting Haircut: Light Skin Tone""]","[""skin"", ""getting"", ""tone"", ""woman"", ""haircut"", ""light"", "":""]","{""woman"": ""NOUN"", ""getting"": ""VERB"", ""haircut"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1826,💇🏼‍♀️,"[""Woman Getting Haircut: Medium-Light Skin Tone""]","[""skin"", ""getting"", ""medium-light"", ""tone"", ""woman"", ""haircut"", "":""]","{""woman"": ""NOUN"", ""getting"": ""VERB"", ""haircut"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1827,💇🏼‍♀,"[""Woman Getting Haircut: Medium-Light Skin Tone""]","[""skin"", ""getting"", ""medium-light"", ""tone"", ""woman"", ""haircut"", "":""]","{""woman"": ""NOUN"", ""getting"": ""VERB"", ""haircut"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1828,💇🏽‍♀️,"[""Woman Getting Haircut: Medium Skin Tone""]","[""skin"", ""getting"", ""tone"", ""woman"", ""haircut"", ""medium"", "":""]","{""woman"": ""NOUN"", ""getting"": ""VERB"", ""haircut"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1829,💇🏽‍♀,"[""Woman Getting Haircut: Medium Skin Tone""]","[""skin"", ""getting"", ""tone"", ""woman"", ""haircut"", ""medium"", "":""]","{""woman"": ""NOUN"", ""getting"": ""VERB"", ""haircut"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1830,💇🏾‍♀️,"[""Woman Getting Haircut: Medium-Dark Skin Tone""]","[""skin"", ""getting"", ""tone"", ""medium-dark"", ""woman"", ""haircut"", "":""]","{""woman"": ""NOUN"", ""getting"": ""VERB"", ""haircut"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1831,💇🏾‍♀,"[""Woman Getting Haircut: Medium-Dark Skin Tone""]","[""skin"", ""getting"", ""tone"", ""medium-dark"", ""woman"", ""haircut"", "":""]","{""woman"": ""NOUN"", ""getting"": ""VERB"", ""haircut"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1832,💇🏿‍♀️,"[""Woman Getting Haircut: Dark Skin Tone""]","[""skin"", ""getting"", ""tone"", "":"", ""woman"", ""haircut"", ""dark""]","{""woman"": ""NOUN"", ""getting"": ""VERB"", ""haircut"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1833,💇🏿‍♀,"[""Woman Getting Haircut: Dark Skin Tone""]","[""skin"", ""getting"", ""tone"", "":"", ""woman"", ""haircut"", ""dark""]","{""woman"": ""NOUN"", ""getting"": ""VERB"", ""haircut"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1834,🚶,"[""Person Walking"", ""Walker"", ""Walking""]","[""walking"", ""person"", ""walker""]","{""person"": ""NOUN"", ""walking"": ""VERB"", ""walker"": ""NOUN""}"
1835,🚶🏻,"[""Person Walking: Light Skin Tone""]","[""skin"", ""walking"", ""tone"", ""light"", ""person"", "":""]","{""person"": ""NOUN"", ""walking"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1836,🚶🏼,"[""Person Walking: Medium-Light Skin Tone""]","[""skin"", ""walking"", ""medium-light"", ""tone"", ""person"", "":""]","{""person"": ""NOUN"", ""walking"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1837,🚶🏽,"[""Person Walking: Medium Skin Tone""]","[""skin"", ""walking"", ""tone"", ""person"", ""medium"", "":""]","{""person"": ""NOUN"", ""walking"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1838,🚶🏾,"[""Person Walking: Medium-Dark Skin Tone""]","[""skin"", ""walking"", ""medium-dark"", ""tone"", ""person"", "":""]","{""person"": ""NOUN"", ""walking"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1839,🚶🏿,"[""Person Walking: Dark Skin Tone""]","[""skin"", ""walking"", ""tone"", ""dark"", ""person"", "":""]","{""person"": ""NOUN"", ""walking"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1840,🚶‍♂️,"[""Man Walking""]","[""walking"", ""man""]","{""man"": ""NOUN"", ""walking"": ""VERB""}"
1841,🚶‍♂,"[""Man Walking""]","[""walking"", ""man""]","{""man"": ""NOUN"", ""walking"": ""VERB""}"
1842,🚶🏻‍♂️,"[""Man Walking: Light Skin Tone""]","[""skin"", ""walking"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""NOUN"", ""walking"": ""VERB"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1843,🚶🏻‍♂,"[""Man Walking: Light Skin Tone""]","[""skin"", ""walking"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""NOUN"", ""walking"": ""VERB"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1844,🚶🏼‍♂️,"[""Man Walking: Medium-Light Skin Tone""]","[""skin"", ""walking"", ""medium-light"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""walking"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1845,🚶🏼‍♂,"[""Man Walking: Medium-Light Skin Tone""]","[""skin"", ""walking"", ""medium-light"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""walking"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1846,🚶🏽‍♂️,"[""Man Walking: Medium Skin Tone""]","[""skin"", ""walking"", ""tone"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""walking"": ""VERB"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1847,🚶🏽‍♂,"[""Man Walking: Medium Skin Tone""]","[""skin"", ""walking"", ""tone"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""walking"": ""VERB"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1848,🚶🏾‍♂️,"[""Man Walking: Medium-Dark Skin Tone""]","[""skin"", ""walking"", ""medium-dark"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""walking"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1849,🚶🏾‍♂,"[""Man Walking: Medium-Dark Skin Tone""]","[""skin"", ""walking"", ""medium-dark"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""walking"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1850,🚶🏿‍♂️,"[""Man Walking: Dark Skin Tone""]","[""skin"", ""walking"", ""tone"", ""dark"", ""man"", "":""]","{""man"": ""NOUN"", ""walking"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1851,🚶🏿‍♂,"[""Man Walking: Dark Skin Tone""]","[""skin"", ""walking"", ""tone"", ""dark"", ""man"", "":""]","{""man"": ""NOUN"", ""walking"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1852,🚶‍♀️,"[""Woman Walking""]","[""walking"", ""woman""]","{""woman"": ""NOUN"", ""walking"": ""VERB""}"
1853,🚶‍♀,"[""Woman Walking""]","[""walking"", ""woman""]","{""woman"": ""NOUN"", ""walking"": ""VERB""}"
1854,🚶🏻‍♀️,"[""Woman Walking: Light Skin Tone""]","[""skin"", ""walking"", ""woman"", ""tone"", ""light"", "":""]","{""woman"": ""ADJ"", ""walking"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1855,🚶🏻‍♀,"[""Woman Walking: Light Skin Tone""]","[""skin"", ""walking"", ""woman"", ""tone"", ""light"", "":""]","{""woman"": ""ADJ"", ""walking"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1856,🚶🏼‍♀️,"[""Woman Walking: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""walking"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""walking"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1857,🚶🏼‍♀,"[""Woman Walking: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""walking"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""walking"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1858,🚶🏽‍♀️,"[""Woman Walking: Medium Skin Tone""]","[""skin"", ""walking"", ""woman"", ""tone"", ""medium"", "":""]","{""woman"": ""ADJ"", ""walking"": ""VERB"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1859,🚶🏽‍♀,"[""Woman Walking: Medium Skin Tone""]","[""skin"", ""walking"", ""woman"", ""tone"", ""medium"", "":""]","{""woman"": ""ADJ"", ""walking"": ""VERB"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1860,🚶🏾‍♀️,"[""Woman Walking: Medium-Dark Skin Tone""]","[""skin"", ""walking"", ""medium-dark"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""walking"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1861,🚶🏾‍♀,"[""Woman Walking: Medium-Dark Skin Tone""]","[""skin"", ""walking"", ""medium-dark"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""walking"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1862,🚶🏿‍♀️,"[""Woman Walking: Dark Skin Tone""]","[""skin"", ""walking"", ""tone"", ""woman"", ""dark"", "":""]","{""woman"": ""ADJ"", ""walking"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1863,🚶🏿‍♀,"[""Woman Walking: Dark Skin Tone""]","[""skin"", ""walking"", ""tone"", ""woman"", ""dark"", "":""]","{""woman"": ""ADJ"", ""walking"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1864,🧍,"[""Person Standing""]","[""standing"", ""person""]","{""person"": ""NOUN"", ""standing"": ""VERB""}"
1865,🧍🏻,"[""Person Standing: Light Skin Tone""]","[""skin"", ""standing"", ""tone"", ""light"", ""person"", "":""]","{""person"": ""NOUN"", ""standing"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1866,🧍🏼,"[""Person Standing: Medium-Light Skin Tone""]","[""skin"", ""standing"", ""medium-light"", ""tone"", ""person"", "":""]","{""person"": ""NOUN"", ""standing"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1867,🧍🏽,"[""Person Standing: Medium Skin Tone""]","[""skin"", ""standing"", ""tone"", ""person"", ""medium"", "":""]","{""person"": ""NOUN"", ""standing"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1868,🧍🏾,"[""Person Standing: Medium-Dark Skin Tone""]","[""skin"", ""standing"", ""medium-dark"", ""tone"", ""person"", "":""]","{""person"": ""NOUN"", ""standing"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1869,🧍🏿,"[""Person Standing: Dark Skin Tone""]","[""skin"", ""standing"", ""tone"", ""dark"", ""person"", "":""]","{""person"": ""NOUN"", ""standing"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1870,🧍‍♂️,"[""Man Standing""]","[""standing"", ""man""]","{""man"": ""NOUN"", ""standing"": ""VERB""}"
1871,🧍‍♂,"[""Man Standing""]","[""standing"", ""man""]","{""man"": ""NOUN"", ""standing"": ""VERB""}"
1872,🧍🏻‍♂️,"[""Man Standing: Light Skin Tone""]","[""skin"", ""standing"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""NOUN"", ""standing"": ""VERB"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1873,🧍🏻‍♂,"[""Man Standing: Light Skin Tone""]","[""skin"", ""standing"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""NOUN"", ""standing"": ""VERB"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1874,🧍🏼‍♂️,"[""Man Standing: Medium-Light Skin Tone""]","[""skin"", ""standing"", ""medium-light"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""standing"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1875,🧍🏼‍♂,"[""Man Standing: Medium-Light Skin Tone""]","[""skin"", ""standing"", ""medium-light"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""standing"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1876,🧍🏽‍♂️,"[""Man Standing: Medium Skin Tone""]","[""skin"", ""standing"", ""tone"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""standing"": ""VERB"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1877,🧍🏽‍♂,"[""Man Standing: Medium Skin Tone""]","[""skin"", ""standing"", ""tone"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""standing"": ""VERB"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1878,🧍🏾‍♂️,"[""Man Standing: Medium-Dark Skin Tone""]","[""skin"", ""standing"", ""medium-dark"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""standing"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1879,🧍🏾‍♂,"[""Man Standing: Medium-Dark Skin Tone""]","[""skin"", ""standing"", ""medium-dark"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""standing"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1880,🧍🏿‍♂️,"[""Man Standing: Dark Skin Tone""]","[""skin"", ""standing"", ""tone"", ""dark"", ""man"", "":""]","{""man"": ""NOUN"", ""standing"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1881,🧍🏿‍♂,"[""Man Standing: Dark Skin Tone""]","[""skin"", ""standing"", ""tone"", ""dark"", ""man"", "":""]","{""man"": ""NOUN"", ""standing"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1882,🧍‍♀️,"[""Woman Standing""]","[""standing"", ""woman""]","{""woman"": ""NOUN"", ""standing"": ""VERB""}"
1883,🧍‍♀,"[""Woman Standing""]","[""standing"", ""woman""]","{""woman"": ""NOUN"", ""standing"": ""VERB""}"
1884,🧍🏻‍♀️,"[""Woman Standing: Light Skin Tone""]","[""skin"", ""standing"", ""woman"", ""tone"", ""light"", "":""]","{""woman"": ""ADJ"", ""standing"": ""VERB"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1885,🧍🏻‍♀,"[""Woman Standing: Light Skin Tone""]","[""skin"", ""standing"", ""woman"", ""tone"", ""light"", "":""]","{""woman"": ""ADJ"", ""standing"": ""VERB"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1886,🧍🏼‍♀️,"[""Woman Standing: Medium-Light Skin Tone""]","[""skin"", ""standing"", ""medium-light"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""standing"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1887,🧍🏼‍♀,"[""Woman Standing: Medium-Light Skin Tone""]","[""skin"", ""standing"", ""medium-light"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""standing"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1888,🧍🏽‍♀️,"[""Woman Standing: Medium Skin Tone""]","[""skin"", ""standing"", ""woman"", ""tone"", ""medium"", "":""]","{""woman"": ""ADJ"", ""standing"": ""VERB"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1889,🧍🏽‍♀,"[""Woman Standing: Medium Skin Tone""]","[""skin"", ""standing"", ""woman"", ""tone"", ""medium"", "":""]","{""woman"": ""ADJ"", ""standing"": ""VERB"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1890,🧍🏾‍♀️,"[""Woman Standing: Medium-Dark Skin Tone""]","[""skin"", ""standing"", ""medium-dark"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""standing"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1891,🧍🏾‍♀,"[""Woman Standing: Medium-Dark Skin Tone""]","[""skin"", ""standing"", ""medium-dark"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""standing"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1892,🧍🏿‍♀️,"[""Woman Standing: Dark Skin Tone""]","[""skin"", ""standing"", ""tone"", ""woman"", ""dark"", "":""]","{""woman"": ""ADJ"", ""standing"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1893,🧍🏿‍♀,"[""Woman Standing: Dark Skin Tone""]","[""skin"", ""standing"", ""tone"", ""woman"", ""dark"", "":""]","{""woman"": ""ADJ"", ""standing"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1894,🧎,"[""Person Kneeling""]","[""person"", ""kneeling""]","{""person"": ""NOUN"", ""kneeling"": ""NOUN""}"
1895,🧎🏻,"[""Person Kneeling: Light Skin Tone""]","[""skin"", ""kneeling"", ""tone"", ""light"", ""person"", "":""]","{""person"": ""NOUN"", ""kneeling"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1896,🧎🏼,"[""Person Kneeling: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""kneeling"", ""tone"", ""person"", "":""]","{""person"": ""NOUN"", ""kneeling"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1897,🧎🏽,"[""Person Kneeling: Medium Skin Tone""]","[""skin"", ""kneeling"", ""tone"", ""person"", ""medium"", "":""]","{""person"": ""NOUN"", ""kneeling"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1898,🧎🏾,"[""Person Kneeling: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""kneeling"", ""tone"", ""person"", "":""]","{""person"": ""NOUN"", ""kneeling"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1899,🧎🏿,"[""Person Kneeling: Dark Skin Tone""]","[""skin"", ""tone"", ""kneeling"", ""dark"", ""person"", "":""]","{""person"": ""NOUN"", ""kneeling"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1900,🧎‍♂️,"[""Man Kneeling""]","[""man"", ""kneeling""]","{""man"": ""NOUN"", ""kneeling"": ""VERB""}"
1901,🧎‍♂,"[""Man Kneeling""]","[""man"", ""kneeling""]","{""man"": ""NOUN"", ""kneeling"": ""VERB""}"
1902,🧎🏻‍♂️,"[""Man Kneeling: Light Skin Tone""]","[""skin"", ""kneeling"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""NOUN"", ""kneeling"": ""VERB"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1903,🧎🏻‍♂,"[""Man Kneeling: Light Skin Tone""]","[""skin"", ""kneeling"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""NOUN"", ""kneeling"": ""VERB"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1904,🧎🏼‍♂️,"[""Man Kneeling: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""kneeling"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""kneeling"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1905,🧎🏼‍♂,"[""Man Kneeling: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""kneeling"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""kneeling"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1906,🧎🏽‍♂️,"[""Man Kneeling: Medium Skin Tone""]","[""skin"", ""kneeling"", ""tone"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""kneeling"": ""VERB"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1907,🧎🏽‍♂,"[""Man Kneeling: Medium Skin Tone""]","[""skin"", ""kneeling"", ""tone"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""kneeling"": ""VERB"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1908,🧎🏾‍♂️,"[""Man Kneeling: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""kneeling"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""kneeling"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1909,🧎🏾‍♂,"[""Man Kneeling: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""kneeling"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""kneeling"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1910,🧎🏿‍♂️,"[""Man Kneeling: Dark Skin Tone""]","[""skin"", ""tone"", ""kneeling"", ""dark"", ""man"", "":""]","{""man"": ""NOUN"", ""kneeling"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1911,🧎🏿‍♂,"[""Man Kneeling: Dark Skin Tone""]","[""skin"", ""tone"", ""kneeling"", ""dark"", ""man"", "":""]","{""man"": ""NOUN"", ""kneeling"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1912,🧎‍♀️,"[""Woman Kneeling""]","[""kneeling"", ""woman""]","{""woman"": ""NOUN"", ""kneeling"": ""VERB""}"
1913,🧎‍♀,"[""Woman Kneeling""]","[""kneeling"", ""woman""]","{""woman"": ""NOUN"", ""kneeling"": ""VERB""}"
1914,🧎🏻‍♀️,"[""Woman Kneeling: Light Skin Tone""]","[""skin"", ""woman"", ""kneeling"", ""tone"", ""light"", "":""]","{""woman"": ""ADJ"", ""kneeling"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1915,🧎🏻‍♀,"[""Woman Kneeling: Light Skin Tone""]","[""skin"", ""woman"", ""kneeling"", ""tone"", ""light"", "":""]","{""woman"": ""ADJ"", ""kneeling"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1916,🧎🏼‍♀️,"[""Woman Kneeling: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""kneeling"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""kneeling"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1917,🧎🏼‍♀,"[""Woman Kneeling: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""kneeling"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""kneeling"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1918,🧎🏽‍♀️,"[""Woman Kneeling: Medium Skin Tone""]","[""skin"", ""woman"", ""kneeling"", ""tone"", ""medium"", "":""]","{""woman"": ""ADJ"", ""kneeling"": ""VERB"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1919,🧎🏽‍♀,"[""Woman Kneeling: Medium Skin Tone""]","[""skin"", ""woman"", ""kneeling"", ""tone"", ""medium"", "":""]","{""woman"": ""ADJ"", ""kneeling"": ""VERB"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1920,🧎🏾‍♀️,"[""Woman Kneeling: Medium-Dark Skin Tone""]","[""skin"", ""woman"", ""medium-dark"", ""kneeling"", ""tone"", "":""]","{""woman"": ""ADJ"", ""kneeling"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
