,emoji,src_meanings,clean_meanings
2738,👨🏻‍❤‍💋‍👨🏽,"[""Kiss: Man, Man, Light Skin Tone, Medium Skin Tone""]","[""kiss: man, man""]"
2739,👨🏻‍❤️‍💋‍👨🏾,"[""Kiss: Man, Man, Light Skin Tone, Medium-Dark Skin Tone""]","[""kiss: man, man""]"
2740,👨🏻‍❤‍💋‍👨🏾,"[""Kiss: Man, Man, Light Skin Tone, Medium-Dark Skin Tone""]","[""kiss: man, man""]"
2741,👨🏻‍❤️‍💋‍👨🏿,"[""Kiss: Man, Man, Light Skin Tone, Dark Skin Tone""]","[""kiss: man, man""]"
2742,👨🏻‍❤‍💋‍👨🏿,"[""Kiss: Man, Man, Light Skin Tone, Dark Skin Tone""]","[""kiss: man, man""]"
2743,👨🏼‍❤️‍💋‍👨🏻,"[""Kiss: Man, Man, Medium-Light Skin Tone, Light Skin Tone""]","[""kiss: man, man""]"
2744,👨🏼‍❤‍💋‍👨🏻,"[""Kiss: Man, Man, Medium-Light Skin Tone, Light Skin Tone""]","[""kiss: man, man""]"
2745,👨🏼‍❤️‍💋‍👨🏼,"[""Kiss: Man, Man, Medium-Light Skin Tone""]","[""kiss: man, man""]"
2746,👨🏼‍❤‍💋‍👨🏼,"[""Kiss: Man, Man, Medium-Light Skin Tone""]","[""kiss: man, man""]"
2747,👨🏼‍❤️‍💋‍👨🏽,"[""Kiss: Man, Man, Medium-Light Skin Tone, Medium Skin Tone""]","[""kiss: man, man""]"
2748,👨🏼‍❤‍💋‍👨🏽,"[""Kiss: Man, Man, Medium-Light Skin Tone, Medium Skin Tone""]","[""kiss: man, man""]"
2749,👨🏼‍❤️‍💋‍👨🏾,"[""Kiss: Man, Man, Medium-Light Skin Tone, Medium-Dark Skin Tone""]","[""kiss: man, man""]"
2750,👨🏼‍❤‍💋‍👨🏾,"[""Kiss: Man, Man, Medium-Light Skin Tone, Medium-Dark Skin Tone""]","[""kiss: man, man""]"
2751,👨🏼‍❤️‍💋‍👨🏿,"[""Kiss: Man, Man, Medium-Light Skin Tone, Dark Skin Tone""]","[""kiss: man, man""]"
2752,👨🏼‍❤‍💋‍👨🏿,"[""Kiss: Man, Man, Medium-Light Skin Tone, Dark Skin Tone""]","[""kiss: man, man""]"
2753,👨🏽‍❤️‍💋‍👨🏻,"[""Kiss: Man, Man, Medium Skin Tone, Light Skin Tone""]","[""kiss: man, man""]"
2754,👨🏽‍❤‍💋‍👨🏻,"[""Kiss: Man, Man, Medium Skin Tone, Light Skin Tone""]","[""kiss: man, man""]"
2755,👨🏽‍❤️‍💋‍👨🏼,"[""Kiss: Man, Man, Medium Skin Tone, Medium-Light Skin Tone""]","[""kiss: man, man""]"
2756,👨🏽‍❤‍💋‍👨🏼,"[""Kiss: Man, Man, Medium Skin Tone, Medium-Light Skin Tone""]","[""kiss: man, man""]"
2757,👨🏽‍❤️‍💋‍👨🏽,"[""Kiss: Man, Man, Medium Skin Tone""]","[""kiss: man, man""]"
2758,👨🏽‍❤‍💋‍👨🏽,"[""Kiss: Man, Man, Medium Skin Tone""]","[""kiss: man, man""]"
2759,👨🏽‍❤️‍💋‍👨🏾,"[""Kiss: Man, Man, Medium Skin Tone, Medium-Dark Skin Tone""]","[""kiss: man, man""]"
2760,👨🏽‍❤‍💋‍👨🏾,"[""Kiss: Man, Man, Medium Skin Tone, Medium-Dark Skin Tone""]","[""kiss: man, man""]"
2761,👨🏽‍❤️‍💋‍👨🏿,"[""Kiss: Man, Man, Medium Skin Tone, Dark Skin Tone""]","[""kiss: man, man""]"
2762,👨🏽‍❤‍💋‍👨🏿,"[""Kiss: Man, Man, Medium Skin Tone, Dark Skin Tone""]","[""kiss: man, man""]"
2763,👨🏾‍❤️‍💋‍👨🏻,"[""Kiss: Man, Man, Medium-Dark Skin Tone, Light Skin Tone""]","[""kiss: man, man""]"
2764,👨🏾‍❤‍💋‍👨🏻,"[""Kiss: Man, Man, Medium-Dark Skin Tone, Light Skin Tone""]","[""kiss: man, man""]"
2765,👨🏾‍❤️‍💋‍👨🏼,"[""Kiss: Man, Man, Medium-Dark Skin Tone, Medium-Light Skin Tone""]","[""kiss: man, man""]"
2766,👨🏾‍❤‍💋‍👨🏼,"[""Kiss: Man, Man, Medium-Dark Skin Tone, Medium-Light Skin Tone""]","[""kiss: man, man""]"
2767,👨🏾‍❤️‍💋‍👨🏽,"[""Kiss: Man, Man, Medium-Dark Skin Tone, Medium Skin Tone""]","[""kiss: man, man""]"
2768,👨🏾‍❤‍💋‍👨🏽,"[""Kiss: Man, Man, Medium-Dark Skin Tone, Medium Skin Tone""]","[""kiss: man, man""]"
2769,👨🏾‍❤️‍💋‍👨🏾,"[""Kiss: Man, Man, Medium-Dark Skin Tone""]","[""kiss: man, man""]"
2770,👨🏾‍❤‍💋‍👨🏾,"[""Kiss: Man, Man, Medium-Dark Skin Tone""]","[""kiss: man, man""]"
2771,👨🏾‍❤️‍💋‍👨🏿,"[""Kiss: Man, Man, Medium-Dark Skin Tone, Dark Skin Tone""]","[""kiss: man, man""]"
2772,👨🏾‍❤‍💋‍👨🏿,"[""Kiss: Man, Man, Medium-Dark Skin Tone, Dark Skin Tone""]","[""kiss: man, man""]"
2773,👨🏿‍❤️‍💋‍👨🏻,"[""Kiss: Man, Man, Dark Skin Tone, Light Skin Tone""]","[""kiss: man, man""]"
2774,👨🏿‍❤‍💋‍👨🏻,"[""Kiss: Man, Man, Dark Skin Tone, Light Skin Tone""]","[""kiss: man, man""]"
2775,👨🏿‍❤️‍💋‍👨🏼,"[""Kiss: Man, Man, Dark Skin Tone, Medium-Light Skin Tone""]","[""kiss: man, man""]"
2776,👨🏿‍❤‍💋‍👨🏼,"[""Kiss: Man, Man, Dark Skin Tone, Medium-Light Skin Tone""]","[""kiss: man, man""]"
2777,👨🏿‍❤️‍💋‍👨🏽,"[""Kiss: Man, Man, Dark Skin Tone, Medium Skin Tone""]","[""kiss: man, man""]"
2778,👨🏿‍❤‍💋‍👨🏽,"[""Kiss: Man, Man, Dark Skin Tone, Medium Skin Tone""]","[""kiss: man, man""]"
2779,👨🏿‍❤️‍💋‍👨🏾,"[""Kiss: Man, Man, Dark Skin Tone, Medium-Dark Skin Tone""]","[""kiss: man, man""]"
2780,👨🏿‍❤‍💋‍👨🏾,"[""Kiss: Man, Man, Dark Skin Tone, Medium-Dark Skin Tone""]","[""kiss: man, man""]"
2781,👨🏿‍❤️‍💋‍👨🏿,"[""Kiss: Man, Man, Dark Skin Tone""]","[""kiss: man, man""]"
2782,👨🏿‍❤‍💋‍👨🏿,"[""Kiss: Man, Man, Dark Skin Tone""]","[""kiss: man, man""]"
2783,👩‍❤️‍💋‍👩,"[""Kiss: Woman, Woman""]","[""kiss: woman, woman""]"
2784,👩‍❤‍💋‍👩,"[""Kiss: Woman, Woman""]","[""kiss: woman, woman""]"
2785,👩🏻‍❤️‍💋‍👩🏻,"[""Kiss: Woman, Woman, Light Skin Tone""]","[""kiss: woman, woman""]"
2786,👩🏻‍❤‍💋‍👩🏻,"[""Kiss: Woman, Woman, Light Skin Tone""]","[""kiss: woman, woman""]"
2787,👩🏻‍❤️‍💋‍👩🏼,"[""Kiss: Woman, Woman, Light Skin Tone, Medium-Light Skin Tone""]","[""kiss: woman, woman""]"
2788,👩🏻‍❤‍💋‍👩🏼,"[""Kiss: Woman, Woman, Light Skin Tone, Medium-Light Skin Tone""]","[""kiss: woman, woman""]"
2789,👩🏻‍❤️‍💋‍👩🏽,"[""Kiss: Woman, Woman, Light Skin Tone, Medium Skin Tone""]","[""kiss: woman, woman""]"
2790,👩🏻‍❤‍💋‍👩🏽,"[""Kiss: Woman, Woman, Light Skin Tone, Medium Skin Tone""]","[""kiss: woman, woman""]"
2791,👩🏻‍❤️‍💋‍👩🏾,"[""Kiss: Woman, Woman, Light Skin Tone, Medium-Dark Skin Tone""]","[""kiss: woman, woman""]"
2792,👩🏻‍❤‍💋‍👩🏾,"[""Kiss: Woman, Woman, Light Skin Tone, Medium-Dark Skin Tone""]","[""kiss: woman, woman""]"
2793,👩🏻‍❤️‍💋‍👩🏿,"[""Kiss: Woman, Woman, Light Skin Tone, Dark Skin Tone""]","[""kiss: woman, woman""]"
2794,👩🏻‍❤‍💋‍👩🏿,"[""Kiss: Woman, Woman, Light Skin Tone, Dark Skin Tone""]","[""kiss: woman, woman""]"
2795,👩🏼‍❤️‍💋‍👩🏻,"[""Kiss: Woman, Woman, Medium-Light Skin Tone, Light Skin Tone""]","[""kiss: woman, woman""]"
2796,👩🏼‍❤‍💋‍👩🏻,"[""Kiss: Woman, Woman, Medium-Light Skin Tone, Light Skin Tone""]","[""kiss: woman, woman""]"
2797,👩🏼‍❤️‍💋‍👩🏼,"[""Kiss: Woman, Woman, Medium-Light Skin Tone""]","[""kiss: woman, woman""]"
2798,👩🏼‍❤‍💋‍👩🏼,"[""Kiss: Woman, Woman, Medium-Light Skin Tone""]","[""kiss: woman, woman""]"
2799,👩🏼‍❤️‍💋‍👩🏽,"[""Kiss: Woman, Woman, Medium-Light Skin Tone, Medium Skin Tone""]","[""kiss: woman, woman""]"
2800,👩🏼‍❤‍💋‍👩🏽,"[""Kiss: Woman, Woman, Medium-Light Skin Tone, Medium Skin Tone""]","[""kiss: woman, woman""]"
2801,👩🏼‍❤️‍💋‍👩🏾,"[""Kiss: Woman, Woman, Medium-Light Skin Tone, Medium-Dark Skin Tone""]","[""kiss: woman, woman""]"
2802,👩🏼‍❤‍💋‍👩🏾,"[""Kiss: Woman, Woman, Medium-Light Skin Tone, Medium-Dark Skin Tone""]","[""kiss: woman, woman""]"
2803,👩🏼‍❤️‍💋‍👩🏿,"[""Kiss: Woman, Woman, Medium-Light Skin Tone, Dark Skin Tone""]","[""kiss: woman, woman""]"
2804,👩🏼‍❤‍💋‍👩🏿,"[""Kiss: Woman, Woman, Medium-Light Skin Tone, Dark Skin Tone""]","[""kiss: woman, woman""]"
2805,👩🏽‍❤️‍💋‍👩🏻,"[""Kiss: Woman, Woman, Medium Skin Tone, Light Skin Tone""]","[""kiss: woman, woman""]"
2806,👩🏽‍❤‍💋‍👩🏻,"[""Kiss: Woman, Woman, Medium Skin Tone, Light Skin Tone""]","[""kiss: woman, woman""]"
2807,👩🏽‍❤️‍💋‍👩🏼,"[""Kiss: Woman, Woman, Medium Skin Tone, Medium-Light Skin Tone""]","[""kiss: woman, woman""]"
2808,👩🏽‍❤‍💋‍👩🏼,"[""Kiss: Woman, Woman, Medium Skin Tone, Medium-Light Skin Tone""]","[""kiss: woman, woman""]"
2809,👩🏽‍❤️‍💋‍👩🏽,"[""Kiss: Woman, Woman, Medium Skin Tone""]","[""kiss: woman, woman""]"
2810,👩🏽‍❤‍💋‍👩🏽,"[""Kiss: Woman, Woman, Medium Skin Tone""]","[""kiss: woman, woman""]"
2811,👩🏽‍❤️‍💋‍👩🏾,"[""Kiss: Woman, Woman, Medium Skin Tone, Medium-Dark Skin Tone""]","[""kiss: woman, woman""]"
2812,👩🏽‍❤‍💋‍👩🏾,"[""Kiss: Woman, Woman, Medium Skin Tone, Medium-Dark Skin Tone""]","[""kiss: woman, woman""]"
2813,👩🏽‍❤️‍💋‍👩🏿,"[""Kiss: Woman, Woman, Medium Skin Tone, Dark Skin Tone""]","[""kiss: woman, woman""]"
2814,👩🏽‍❤‍💋‍👩🏿,"[""Kiss: Woman, Woman, Medium Skin Tone, Dark Skin Tone""]","[""kiss: woman, woman""]"
2815,👩🏾‍❤️‍💋‍👩🏻,"[""Kiss: Woman, Woman, Medium-Dark Skin Tone, Light Skin Tone""]","[""kiss: woman, woman""]"
2816,👩🏾‍❤‍💋‍👩🏻,"[""Kiss: Woman, Woman, Medium-Dark Skin Tone, Light Skin Tone""]","[""kiss: woman, woman""]"
2817,👩🏾‍❤️‍💋‍👩🏼,"[""Kiss: Woman, Woman, Medium-Dark Skin Tone, Medium-Light Skin Tone""]","[""kiss: woman, woman""]"
2818,👩🏾‍❤‍💋‍👩🏼,"[""Kiss: Woman, Woman, Medium-Dark Skin Tone, Medium-Light Skin Tone""]","[""kiss: woman, woman""]"
2819,👩🏾‍❤️‍💋‍👩🏽,"[""Kiss: Woman, Woman, Medium-Dark Skin Tone, Medium Skin Tone""]","[""kiss: woman, woman""]"
2820,👩🏾‍❤‍💋‍👩🏽,"[""Kiss: Woman, Woman, Medium-Dark Skin Tone, Medium Skin Tone""]","[""kiss: woman, woman""]"
2821,👩🏾‍❤️‍💋‍👩🏾,"[""Kiss: Woman, Woman, Medium-Dark Skin Tone""]","[""kiss: woman, woman""]"
2822,👩🏾‍❤‍💋‍👩🏾,"[""Kiss: Woman, Woman, Medium-Dark Skin Tone""]","[""kiss: woman, woman""]"
2823,👩🏾‍❤️‍💋‍👩🏿,"[""Kiss: Woman, Woman, Medium-Dark Skin Tone, Dark Skin Tone""]","[""kiss: woman, woman""]"
2824,👩🏾‍❤‍💋‍👩🏿,"[""Kiss: Woman, Woman, Medium-Dark Skin Tone, Dark Skin Tone""]","[""kiss: woman, woman""]"
2825,👩🏿‍❤️‍💋‍👩🏻,"[""Kiss: Woman, Woman, Dark Skin Tone, Light Skin Tone""]","[""kiss: woman, woman""]"
2826,👩🏿‍❤‍💋‍👩🏻,"[""Kiss: Woman, Woman, Dark Skin Tone, Light Skin Tone""]","[""kiss: woman, woman""]"
2827,👩🏿‍❤️‍💋‍👩🏼,"[""Kiss: Woman, Woman, Dark Skin Tone, Medium-Light Skin Tone""]","[""kiss: woman, woman""]"
2828,👩🏿‍❤‍💋‍👩🏼,"[""Kiss: Woman, Woman, Dark Skin Tone, Medium-Light Skin Tone""]","[""kiss: woman, woman""]"
2829,👩🏿‍❤️‍💋‍👩🏽,"[""Kiss: Woman, Woman, Dark Skin Tone, Medium Skin Tone""]","[""kiss: woman, woman""]"
2830,👩🏿‍❤‍💋‍👩🏽,"[""Kiss: Woman, Woman, Dark Skin Tone, Medium Skin Tone""]","[""kiss: woman, woman""]"
2831,👩🏿‍❤️‍💋‍👩🏾,"[""Kiss: Woman, Woman, Dark Skin Tone, Medium-Dark Skin Tone""]","[""kiss: woman, woman""]"
2832,👩🏿‍❤‍💋‍👩🏾,"[""Kiss: Woman, Woman, Dark Skin Tone, Medium-Dark Skin Tone""]","[""kiss: woman, woman""]"
2833,👩🏿‍❤️‍💋‍👩🏿,"[""Kiss: Woman, Woman, Dark Skin Tone""]","[""kiss: woman, woman""]"
2834,👩🏿‍❤‍💋‍👩🏿,"[""Kiss: Woman, Woman, Dark Skin Tone""]","[""kiss: woman, woman""]"
2835,💑,"[""Couple with Heart"", ""Couple In Love"", ""Gender Neutral Couple"", ""Loving Couple""]","[""couple with heart"", ""couple in love"", ""gender neutral couple"", ""loving couple""]"
2836,💑🏻,"[""Couple with Heart: Light Skin Tone""]","[""couple with heart""]"
2837,💑🏼,"[""Couple with Heart: Medium-Light Skin Tone""]","[""couple with heart""]"
2838,💑🏽,"[""Couple with Heart: Medium Skin Tone""]","[""couple with heart""]"
2839,💑🏾,"[""Couple with Heart: Medium-Dark Skin Tone""]","[""couple with heart""]"
2840,💑🏿,"[""Couple with Heart: Dark Skin Tone""]","[""couple with heart""]"
2841,🧑🏻‍❤️‍🧑🏼,"[""Couple with Heart: Person, Person, Light Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: person, person""]"
2842,🧑🏻‍❤‍🧑🏼,"[""Couple with Heart: Person, Person, Light Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: person, person""]"
2843,🧑🏻‍❤️‍🧑🏽,"[""Couple with Heart: Person, Person, Light Skin Tone, Medium Skin Tone""]","[""couple with heart: person, person""]"
2844,🧑🏻‍❤‍🧑🏽,"[""Couple with Heart: Person, Person, Light Skin Tone, Medium Skin Tone""]","[""couple with heart: person, person""]"
2845,🧑🏻‍❤️‍🧑🏾,"[""Couple with Heart: Person, Person, Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: person, person""]"
2846,🧑🏻‍❤‍🧑🏾,"[""Couple with Heart: Person, Person, Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: person, person""]"
2847,🧑🏻‍❤️‍🧑🏿,"[""Couple with Heart: Person, Person, Light Skin Tone, Dark Skin Tone""]","[""couple with heart: person, person""]"
2848,🧑🏻‍❤‍🧑🏿,"[""Couple with Heart: Person, Person, Light Skin Tone, Dark Skin Tone""]","[""couple with heart: person, person""]"
2849,🧑🏼‍❤️‍🧑🏻,"[""Couple with Heart: Person, Person, Medium-Light Skin Tone, Light Skin Tone""]","[""couple with heart: person, person""]"
2850,🧑🏼‍❤‍🧑🏻,"[""Couple with Heart: Person, Person, Medium-Light Skin Tone, Light Skin Tone""]","[""couple with heart: person, person""]"
2851,🧑🏼‍❤️‍🧑🏽,"[""Couple with Heart: Person, Person, Medium-Light Skin Tone, Medium Skin Tone""]","[""couple with heart: person, person""]"
2852,🧑🏼‍❤‍🧑🏽,"[""Couple with Heart: Person, Person, Medium-Light Skin Tone, Medium Skin Tone""]","[""couple with heart: person, person""]"
2853,🧑🏼‍❤️‍🧑🏾,"[""Couple with Heart: Person, Person, Medium-Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: person, person""]"
2854,🧑🏼‍❤‍🧑🏾,"[""Couple with Heart: Person, Person, Medium-Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: person, person""]"
2855,🧑🏼‍❤️‍🧑🏿,"[""Couple with Heart: Person, Person, Medium-Light Skin Tone, Dark Skin Tone""]","[""couple with heart: person, person""]"
2856,🧑🏼‍❤‍🧑🏿,"[""Couple with Heart: Person, Person, Medium-Light Skin Tone, Dark Skin Tone""]","[""couple with heart: person, person""]"
2857,🧑🏽‍❤️‍🧑🏻,"[""Couple with Heart: Person, Person, Medium Skin Tone, Light Skin Tone""]","[""couple with heart: person, person""]"
2858,🧑🏽‍❤‍🧑🏻,"[""Couple with Heart: Person, Person, Medium Skin Tone, Light Skin Tone""]","[""couple with heart: person, person""]"
2859,🧑🏽‍❤️‍🧑🏼,"[""Couple with Heart: Person, Person, Medium Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: person, person""]"
2860,🧑🏽‍❤‍🧑🏼,"[""Couple with Heart: Person, Person, Medium Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: person, person""]"
2861,🧑🏽‍❤️‍🧑🏾,"[""Couple with Heart: Person, Person, Medium Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: person, person""]"
2862,🧑🏽‍❤‍🧑🏾,"[""Couple with Heart: Person, Person, Medium Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: person, person""]"
2863,🧑🏽‍❤️‍🧑🏿,"[""Couple with Heart: Person, Person, Medium Skin Tone, Dark Skin Tone""]","[""couple with heart: person, person""]"
2864,🧑🏽‍❤‍🧑🏿,"[""Couple with Heart: Person, Person, Medium Skin Tone, Dark Skin Tone""]","[""couple with heart: person, person""]"
2865,🧑🏾‍❤️‍🧑🏻,"[""Couple with Heart: Person, Person, Medium-Dark Skin Tone, Light Skin Tone""]","[""couple with heart: person, person""]"
2866,🧑🏾‍❤‍🧑🏻,"[""Couple with Heart: Person, Person, Medium-Dark Skin Tone, Light Skin Tone""]","[""couple with heart: person, person""]"
2867,🧑🏾‍❤️‍🧑🏼,"[""Couple with Heart: Person, Person, Medium-Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: person, person""]"
2868,🧑🏾‍❤‍🧑🏼,"[""Couple with Heart: Person, Person, Medium-Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: person, person""]"
2869,🧑🏾‍❤️‍🧑🏽,"[""Couple with Heart: Person, Person, Medium-Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: person, person""]"
2870,🧑🏾‍❤‍🧑🏽,"[""Couple with Heart: Person, Person, Medium-Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: person, person""]"
2871,🧑🏾‍❤️‍🧑🏿,"[""Couple with Heart: Person, Person, Medium-Dark Skin Tone, Dark Skin Tone""]","[""couple with heart: person, person""]"
2872,🧑🏾‍❤‍🧑🏿,"[""Couple with Heart: Person, Person, Medium-Dark Skin Tone, Dark Skin Tone""]","[""couple with heart: person, person""]"
2873,🧑🏿‍❤️‍🧑🏻,"[""Couple with Heart: Person, Person, Dark Skin Tone, Light Skin Tone""]","[""couple with heart: person, person""]"
2874,🧑🏿‍❤‍🧑🏻,"[""Couple with Heart: Person, Person, Dark Skin Tone, Light Skin Tone""]","[""couple with heart: person, person""]"
2875,🧑🏿‍❤️‍🧑🏼,"[""Couple with Heart: Person, Person, Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: person, person""]"
2876,🧑🏿‍❤‍🧑🏼,"[""Couple with Heart: Person, Person, Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: person, person""]"
2877,🧑🏿‍❤️‍🧑🏽,"[""Couple with Heart: Person, Person, Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: person, person""]"
2878,🧑🏿‍❤‍🧑🏽,"[""Couple with Heart: Person, Person, Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: person, person""]"
2879,🧑🏿‍❤️‍🧑🏾,"[""Couple with Heart: Person, Person, Dark Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: person, person""]"
2880,🧑🏿‍❤‍🧑🏾,"[""Couple with Heart: Person, Person, Dark Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: person, person""]"
2881,👩‍❤️‍👨,"[""Couple with Heart: Woman, Man""]","[""couple with heart: woman, man""]"
2882,👩‍❤‍👨,"[""Couple with Heart: Woman, Man""]","[""couple with heart: woman, man""]"
2883,👩🏻‍❤️‍👨🏻,"[""Couple with Heart: Woman, Man, Light Skin Tone""]","[""couple with heart: woman, man""]"
2884,👩🏻‍❤‍👨🏻,"[""Couple with Heart: Woman, Man, Light Skin Tone""]","[""couple with heart: woman, man""]"
2885,👩🏻‍❤️‍👨🏼,"[""Couple with Heart: Woman, Man, Light Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, man""]"
2886,👩🏻‍❤‍👨🏼,"[""Couple with Heart: Woman, Man, Light Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, man""]"
2887,👩🏻‍❤️‍👨🏽,"[""Couple with Heart: Woman, Man, Light Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, man""]"
2888,👩🏻‍❤‍👨🏽,"[""Couple with Heart: Woman, Man, Light Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, man""]"
2889,👩🏻‍❤️‍👨🏾,"[""Couple with Heart: Woman, Man, Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, man""]"
2890,👩🏻‍❤‍👨🏾,"[""Couple with Heart: Woman, Man, Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, man""]"
2891,👩🏻‍❤️‍👨🏿,"[""Couple with Heart: Woman, Man, Light Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, man""]"
2892,👩🏻‍❤‍👨🏿,"[""Couple with Heart: Woman, Man, Light Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, man""]"
2893,👩🏼‍❤️‍👨🏻,"[""Couple with Heart: Woman, Man, Medium-Light Skin Tone, Light Skin Tone""]","[""couple with heart: woman, man""]"
2894,👩🏼‍❤‍👨🏻,"[""Couple with Heart: Woman, Man, Medium-Light Skin Tone, Light Skin Tone""]","[""couple with heart: woman, man""]"
2895,👩🏼‍❤️‍👨🏼,"[""Couple with Heart: Woman, Man, Medium-Light Skin Tone""]","[""couple with heart: woman, man""]"
2896,👩🏼‍❤‍👨🏼,"[""Couple with Heart: Woman, Man, Medium-Light Skin Tone""]","[""couple with heart: woman, man""]"
2897,👩🏼‍❤️‍👨🏽,"[""Couple with Heart: Woman, Man, Medium-Light Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, man""]"
2898,👩🏼‍❤‍👨🏽,"[""Couple with Heart: Woman, Man, Medium-Light Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, man""]"
2899,👩🏼‍❤️‍👨🏾,"[""Couple with Heart: Woman, Man, Medium-Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, man""]"
2900,👩🏼‍❤‍👨🏾,"[""Couple with Heart: Woman, Man, Medium-Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, man""]"
2901,👩🏼‍❤️‍👨🏿,"[""Couple with Heart: Woman, Man, Medium-Light Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, man""]"
2902,👩🏼‍❤‍👨🏿,"[""Couple with Heart: Woman, Man, Medium-Light Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, man""]"
2903,👩🏽‍❤️‍👨🏻,"[""Couple with Heart: Woman, Man, Medium Skin Tone, Light Skin Tone""]","[""couple with heart: woman, man""]"
2904,👩🏽‍❤‍👨🏻,"[""Couple with Heart: Woman, Man, Medium Skin Tone, Light Skin Tone""]","[""couple with heart: woman, man""]"
2905,👩🏽‍❤️‍👨🏼,"[""Couple with Heart: Woman, Man, Medium Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, man""]"
2906,👩🏽‍❤‍👨🏼,"[""Couple with Heart: Woman, Man, Medium Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, man""]"
2907,👩🏽‍❤️‍👨🏽,"[""Couple with Heart: Woman, Man, Medium Skin Tone""]","[""couple with heart: woman, man""]"
2908,👩🏽‍❤‍👨🏽,"[""Couple with Heart: Woman, Man, Medium Skin Tone""]","[""couple with heart: woman, man""]"
2909,👩🏽‍❤️‍👨🏾,"[""Couple with Heart: Woman, Man, Medium Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, man""]"
2910,👩🏽‍❤‍👨🏾,"[""Couple with Heart: Woman, Man, Medium Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, man""]"
2911,👩🏽‍❤️‍👨🏿,"[""Couple with Heart: Woman, Man, Medium Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, man""]"
2912,👩🏽‍❤‍👨🏿,"[""Couple with Heart: Woman, Man, Medium Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, man""]"
2913,👩🏾‍❤️‍👨🏻,"[""Couple with Heart: Woman, Man, Medium-Dark Skin Tone, Light Skin Tone""]","[""couple with heart: woman, man""]"
2914,👩🏾‍❤‍👨🏻,"[""Couple with Heart: Woman, Man, Medium-Dark Skin Tone, Light Skin Tone""]","[""couple with heart: woman, man""]"
2915,👩🏾‍❤️‍👨🏼,"[""Couple with Heart: Woman, Man, Medium-Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, man""]"
2916,👩🏾‍❤‍👨🏼,"[""Couple with Heart: Woman, Man, Medium-Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, man""]"
2917,👩🏾‍❤️‍👨🏽,"[""Couple with Heart: Woman, Man, Medium-Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, man""]"
2918,👩🏾‍❤‍👨🏽,"[""Couple with Heart: Woman, Man, Medium-Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, man""]"
2919,👩🏾‍❤️‍👨🏾,"[""Couple with Heart: Woman, Man, Medium-Dark Skin Tone""]","[""couple with heart: woman, man""]"
2920,👩🏾‍❤‍👨🏾,"[""Couple with Heart: Woman, Man, Medium-Dark Skin Tone""]","[""couple with heart: woman, man""]"
2921,👩🏾‍❤️‍👨🏿,"[""Couple with Heart: Woman, Man, Medium-Dark Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, man""]"
2922,👩🏾‍❤‍👨🏿,"[""Couple with Heart: Woman, Man, Medium-Dark Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, man""]"
