,emoji,meanings_ru,synsets,synsets_names
3979,🪑,['стул'],"[""110869-N"", ""121026-N""]","[""ВЫДЕЛЕНИЯ ИЗ ОРГАНИЗМА"", ""КАЛ, ИСПРАЖНЕНИЯ""]"
3980,🚽,"['туалет', 'ванная комната', 'Лоо', 'комната отдыха']","[""120599-N"", ""129993-N"", ""107210-N"", ""106573-N"", ""107210-N"", ""106573-N""]","[""УБОРНАЯ, ТУАЛЕТ"", ""ПОДСОБНОЕ ПОМЕЩЕНИЕ"", ""УБОРНАЯ, ТУАЛЕТ"", ""ПОДСОБНОЕ ПОМЕЩЕНИЕ"", ""УБОРНАЯ, ТУАЛЕТ"", ""ПОДСОБНОЕ ПОМЕЩЕНИЕ"", ""КОМНАТА (ПОМЕЩЕНИЕ)"", ""ПОМЕЩЕНИЕ, ВНУТРЕННОСТЬ ЗДАНИЯ"", ""УБОРНАЯ, ТУАЛЕТ"", ""ПОДСОБНОЕ ПОМЕЩЕНИЕ"", ""КОМНАТА (ПОМЕЩЕНИЕ)"", ""ПОМЕЩЕНИЕ, ВНУТРЕННОСТЬ ЗДАНИЯ"", ""УБОРНАЯ, ТУАЛЕТ"", ""ПОДСОБНОЕ ПОМЕЩЕНИЕ"", ""КОМНАТА (ПОМЕЩЕНИЕ)"", ""ПОМЕЩЕНИЕ, ВНУТРЕННОСТЬ ЗДАНИЯ"", ""КОМНАТА (ПОМЕЩЕНИЕ)"", ""ПОМЕЩЕНИЕ, ВНУТРЕННОСТЬ ЗДАНИЯ"", ""УБОРНАЯ, ТУАЛЕТ"", ""ПОДСОБНОЕ ПОМЕЩЕНИЕ"", ""КОМНАТА (ПОМЕЩЕНИЕ)"", ""ПОМЕЩЕНИЕ, ВНУТРЕННОСТЬ ЗДАНИЯ"", ""КОМНАТА (ПОМЕЩЕНИЕ)"", ""ПОМЕЩЕНИЕ, ВНУТРЕННОСТЬ ЗДАНИЯ""]"
3981,🪠,['плунгер'],[],[]
3982,🚿,"['душ', 'душ голова']","[""116503-N"", ""108229-N"", ""106573-N"", ""116503-N"", ""108229-N"", ""106573-N"", ""109080-N"", ""143622-N""]","[""ДУШЕВАЯ КОМНАТА"", ""КАБИНА"", ""ПОМЕЩЕНИЕ, ВНУТРЕННОСТЬ ЗДАНИЯ"", ""ДУШЕВАЯ КОМНАТА"", ""КАБИНА"", ""ПОМЕЩЕНИЕ, ВНУТРЕННОСТЬ ЗДАНИЯ"", ""ДУШЕВАЯ КОМНАТА"", ""КАБИНА"", ""ПОМЕЩЕНИЕ, ВНУТРЕННОСТЬ ЗДАНИЯ"", ""ДУШЕВАЯ КОМНАТА"", ""КАБИНА"", ""ПОМЕЩЕНИЕ, ВНУТРЕННОСТЬ ЗДАНИЯ"", ""ДУШЕВАЯ КОМНАТА"", ""КАБИНА"", ""ПОМЕЩЕНИЕ, ВНУТРЕННОСТЬ ЗДАНИЯ"", ""ПЕРЕДНЯЯ ЧАСТЬ"", ""ГОЛОВА ДВИЖУЩЕГОСЯ""]"
3983,🛁,"['ванна', 'баня пузыря']","[""152599-N"", ""129698-N"", ""6793-N"", ""3537-N""]","[""ФИЗИОПРОЦЕДУРА"", ""ЛЕЧЕБНАЯ ВАННА"", ""ФИЗИОПРОЦЕДУРА"", ""ЛЕЧЕБНАЯ ВАННА"", ""БАНЯ"", ""НЕЖИЛОЕ ПОМЕЩЕНИЕ"", ""ФИЗИОПРОЦЕДУРА"", ""ЛЕЧЕБНАЯ ВАННА"", ""БАНЯ"", ""НЕЖИЛОЕ ПОМЕЩЕНИЕ""]"
3984,🪤,['мышь ловушка'],"[""5670-N"", ""5669-N"", ""117890-N"", ""5081-N"", ""106553-N""]","[""МЫШЬ"", ""ГРЫЗУН"", ""МЫШЬ"", ""ГРЫЗУН"", ""ЛОВУШКА (ПРИСПОСОБЛЕНИЕ)"", ""ОРУДИЕ ЛОВА"", ""ПРИСПОСОБЛЕНИЕ, ИНСТРУМЕНТ""]"
3985,🪒,['Разор'],[],[]
3986,🧴,['бутылка лосьона'],"[""146197-N"", ""107039-N"", ""6103-N""]","[""ПОТРЕБИТЕЛЬСКАЯ УПАКОВКА"", ""СОСУД (ВМЕСТИЛИЩЕ)"", ""БУТЫЛКА"", ""ПОТРЕБИТЕЛЬСКАЯ УПАКОВКА"", ""СОСУД (ВМЕСТИЛИЩЕ)"", ""БУТЫЛКА""]"
3987,🧷,['безопасности Pin'],[],[]
3988,🧹,"['Broom', 'кисть', 'сметать']","[""121266-N"", ""147283-N"", ""112689-V"", ""113291-V""]","[""ПУК, ПУЧОК"", ""КИСТЬ НИТЕЙ"", ""ПУК, ПУЧОК"", ""КИСТЬ НИТЕЙ"", ""МЕТАТЬ (ШИТЬ)"", ""СШИВАТЬ""]"
3989,🧺,['корзина'],"[""107038-N"", ""107263-N"", ""152705-N""]","[""ВМЕСТИЛИЩЕ"", ""ПЛЕТЕНАЯ КОРЗИНА"", ""ПЛЕТЕНОЕ ИЗДЕЛИЕ""]"
3990,🧻,"['рулон бумаги', 'туалетная бумага']","[""123606-N"", ""120512-N"", ""2428-N"", ""6323-N"", ""457-N""]","[""РУЛОН"", ""ТРУБКА (ПРЕДМЕТ ТРУБООБРАЗНОЙ ФОРМЫ)"", ""РУЛОН"", ""ТРУБКА (ПРЕДМЕТ ТРУБООБРАЗНОЙ ФОРМЫ)"", ""РУЛОН"", ""ТРУБКА (ПРЕДМЕТ ТРУБООБРАЗНОЙ ФОРМЫ)"", ""РУЛОН"", ""ТРУБКА (ПРЕДМЕТ ТРУБООБРАЗНОЙ ФОРМЫ)"", ""ДОКУМЕНТ"", ""ДВИЖИМАЯ СОБСТВЕННОСТЬ"", ""ЦЕННАЯ БУМАГА""]"
3991,🪣,['ведра'],[],[]
3992,🧼,['мыло'],"[""110872-N"", ""115968-N""]","[""ПОТ (ВЫДЕЛЕНИЕ)"", ""МЫЛО (ПОТ У ЛОШАДИ)""]"
3993,🪥,['зубная щетка'],"[""146889-N"", ""126135-N""]","[""ЩЕТИННО-ЩЕТОЧНЫЕ ИЗДЕЛИЯ"", ""ЩЕТКА ДЛЯ ЧИСТКИ""]"
3994,🧽,['губка'],"[""130758-N"", ""106553-N""]","[""ГУБКА ДЛЯ МЫТЬЯ"", ""ПРИСПОСОБЛЕНИЕ, ИНСТРУМЕНТ""]"
3995,🧯,['огнетушитель'],"[""7445-N"", ""145209-N"", ""106555-N""]","[""ОГНЕТУШИТЕЛЬ"", ""ОБОРУДОВАНИЕ ДЛЯ ПОЖАРОТУШЕНИЯ"", ""ТЕХНИЧЕСКОЕ УСТРОЙСТВО""]"
3996,🛒,"['корзина', 'корзина']","[""107038-N"", ""107263-N"", ""152705-N"", ""107038-N"", ""107263-N"", ""152705-N""]","[""ВМЕСТИЛИЩЕ"", ""ПЛЕТЕНАЯ КОРЗИНА"", ""ПЛЕТЕНОЕ ИЗДЕЛИЕ"", ""ВМЕСТИЛИЩЕ"", ""ПЛЕТЕНАЯ КОРЗИНА"", ""ПЛЕТЕНОЕ ИЗДЕЛИЕ"", ""ВМЕСТИЛИЩЕ"", ""ПЛЕТЕНАЯ КОРЗИНА"", ""ПЛЕТЕНОЕ ИЗДЕЛИЕ""]"
3997,🚬,"['сигарета', 'сигарета', 'курить']","[""124114-N"", ""5091-N"", ""124114-N"", ""5091-N"", ""115824-V"", ""4042-V""]","[""СИГАРЕТА"", ""ТАБАЧНАЯ ПРОДУКЦИЯ"", ""СИГАРЕТА"", ""ТАБАЧНАЯ ПРОДУКЦИЯ"", ""СИГАРЕТА"", ""ТАБАЧНАЯ ПРОДУКЦИЯ"", ""СИГАРЕТА"", ""ТАБАЧНАЯ ПРОДУКЦИЯ"", ""СИГАРЕТА"", ""ТАБАЧНАЯ ПРОДУКЦИЯ"", ""ВДОХНУТЬ, СДЕЛАТЬ ВДОХ"", ""КУРЕНИЕ""]"
3998,⚰️,"['Коффин', 'шкатулка', 'похороны']","[""107051-N"", ""108126-N"", ""3663-N"", ""123475-N""]","[""ЯЩИК (ВМЕСТИЛИЩЕ)"", ""ШКАТУЛКА"", ""ЯЩИК (ВМЕСТИЛИЩЕ)"", ""ШКАТУЛКА"", ""ПОХОРОНЫ"", ""ЦЕРЕМОНИЯ (ТОРЖЕСТВЕННОЕ МЕРОПРИЯТИЕ)""]"
3999,⚰,"['Коффин', 'шкатулка', 'похороны']","[""107051-N"", ""108126-N"", ""3663-N"", ""123475-N""]","[""ЯЩИК (ВМЕСТИЛИЩЕ)"", ""ШКАТУЛКА"", ""ЯЩИК (ВМЕСТИЛИЩЕ)"", ""ШКАТУЛКА"", ""ПОХОРОНЫ"", ""ЦЕРЕМОНИЯ (ТОРЖЕСТВЕННОЕ МЕРОПРИЯТИЕ)""]"
4000,🪦,['головной камень'],"[""107732-A"", ""107131-N"", ""108698-N""]","[""ГОЛОВА (ЧАСТЬ ТЕЛА)"", ""ГОЛОВА (ЧАСТЬ ТЕЛА)"", ""КУСОК (ОТДЕЛЬНАЯ ЧАСТЬ)"", ""КАМЕНЬ, КУСОК ПОРОДЫ""]"
4001,⚱️,"['похороны urn', 'ваза']","[""3663-N"", ""123475-N"", ""107687-N"", ""107039-N""]","[""ПОХОРОНЫ"", ""ЦЕРЕМОНИЯ (ТОРЖЕСТВЕННОЕ МЕРОПРИЯТИЕ)"", ""ПОХОРОНЫ"", ""ЦЕРЕМОНИЯ (ТОРЖЕСТВЕННОЕ МЕРОПРИЯТИЕ)"", ""ПОХОРОНЫ"", ""ЦЕРЕМОНИЯ (ТОРЖЕСТВЕННОЕ МЕРОПРИЯТИЕ)"", ""ВАЗА"", ""СОСУД (ВМЕСТИЛИЩЕ)""]"
4002,⚱,"['похороны urn', 'ваза']","[""3663-N"", ""123475-N"", ""107687-N"", ""107039-N""]","[""ПОХОРОНЫ"", ""ЦЕРЕМОНИЯ (ТОРЖЕСТВЕННОЕ МЕРОПРИЯТИЕ)"", ""ПОХОРОНЫ"", ""ЦЕРЕМОНИЯ (ТОРЖЕСТВЕННОЕ МЕРОПРИЯТИЕ)"", ""ПОХОРОНЫ"", ""ЦЕРЕМОНИЯ (ТОРЖЕСТВЕННОЕ МЕРОПРИЯТИЕ)"", ""ВАЗА"", ""СОСУД (ВМЕСТИЛИЩЕ)""]"
4003,🗿,"['Моай', 'пасхальный остров', 'человек рок резьба', 'Моай', 'moyai статуя']","[""124173-A"", ""619-A"", ""107135-N"", ""3465-N"", ""7166-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""108733-N"", ""143709-N"", ""123368-N"", ""107002-N"", ""8429-N"", ""4741-N"", ""125117-N""]","[""ПАСХА"", ""ПРАЗДНИК"", ""ПАСХА"", ""ПРАЗДНИК"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""ОСТРОВ"", ""ГЕОГРАФИЧЕСКИЙ ОБЪЕКТ"", ""ПАСХА"", ""ПРАЗДНИК"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""ОСТРОВ"", ""ГЕОГРАФИЧЕСКИЙ ОБЪЕКТ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ПАСХА"", ""ПРАЗДНИК"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""ОСТРОВ"", ""ГЕОГРАФИЧЕСКИЙ ОБЪЕКТ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""РОК-МУЗЫКА"", ""МУЗЫКАЛЬНЫЙ СТИЛЬ"", ""ПАСХА"", ""ПРАЗДНИК"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""ОСТРОВ"", ""ГЕОГРАФИЧЕСКИЙ ОБЪЕКТ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""РОК-МУЗЫКА"", ""МУЗЫКАЛЬНЫЙ СТИЛЬ"", ""РЕЗНЫЕ РАБОТЫ"", ""ИЗОБРАЗИТЬ (ВОСПРОИЗВЕСТИ)"", ""ПАСХА"", ""ПРАЗДНИК"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""ОСТРОВ"", ""ГЕОГРАФИЧЕСКИЙ ОБЪЕКТ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""РОК-МУЗЫКА"", ""МУЗЫКАЛЬНЫЙ СТИЛЬ"", ""РЕЗНЫЕ РАБОТЫ"", ""ИЗОБРАЗИТЬ (ВОСПРОИЗВЕСТИ)"", ""ПАСХА"", ""ПРАЗДНИК"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""ОСТРОВ"", ""ГЕОГРАФИЧЕСКИЙ ОБЪЕКТ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""РОК-МУЗЫКА"", ""МУЗЫКАЛЬНЫЙ СТИЛЬ"", ""РЕЗНЫЕ РАБОТЫ"", ""ИЗОБРАЗИТЬ (ВОСПРОИЗВЕСТИ)"", ""ПАСХА"", ""ПРАЗДНИК"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""ОСТРОВ"", ""ГЕОГРАФИЧЕСКИЙ ОБЪЕКТ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""РОК-МУЗЫКА"", ""МУЗЫКАЛЬНЫЙ СТИЛЬ"", ""РЕЗНЫЕ РАБОТЫ"", ""ИЗОБРАЗИТЬ (ВОСПРОИЗВЕСТИ)"", ""СТАТУЯ"", ""СКУЛЬПТУРНОЕ ПРОИЗВЕДЕНИЕ"", ""ФИГУРА (ИЗОБРАЖЕНИЕ)""]"
4004,🪧,"['плацкарт', 'Законный знак', 'знак протеста', 'знак', 'знак на пост']","[""3673-A"", ""152578-A"", ""107182-N"", ""107519-N"", ""107182-N"", ""107519-N"", ""107182-N"", ""107519-N"", ""107182-N"", ""107519-N"", ""124123-N"", ""124124-N""]","[""ЗАКОННОСТЬ"", ""ФОРМАЛЬНЫЙ СТАТУС"", ""ЗАКОННОСТЬ"", ""ФОРМАЛЬНЫЙ СТАТУС"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ЗАКОННОСТЬ"", ""ФОРМАЛЬНЫЙ СТАТУС"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ЗАКОННОСТЬ"", ""ФОРМАЛЬНЫЙ СТАТУС"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ЗАКОННОСТЬ"", ""ФОРМАЛЬНЫЙ СТАТУС"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ЗАКОННОСТЬ"", ""ФОРМАЛЬНЫЙ СТАТУС"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ЗАКОННОСТЬ"", ""ФОРМАЛЬНЫЙ СТАТУС"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ЗАКОННОСТЬ"", ""ФОРМАЛЬНЫЙ СТАТУС"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ПОСТИТЬСЯ"", ""ВОЗДЕРЖАТЬСЯ ОТ ДЕЙСТВИЙ""]"
4005,🏧,"['Знак атм', 'атм']","[""107182-N"", ""107519-N""]","[""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ИЗОБРАЖЕНИЕ (РЕЗУЛЬТАТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ""]"
4006,🚮,"['помет в bin sign', 'Траш', 'положить помет в мусор']","[""121026-N"", ""5244-N"", ""9802-N"", ""106698-V"", ""106817-V"", ""151864-V"", ""121026-N"", ""5244-N"", ""9802-N"", ""107012-N"", ""142413-N"", ""107015-N""]","[""КАЛ, ИСПРАЖНЕНИЯ"", ""ОРГАНИЧЕСКОЕ УДОБРЕНИЕ"", ""ПТИЧИЙ ПОМЕТ"", ""КАЛ, ИСПРАЖНЕНИЯ"", ""ОРГАНИЧЕСКОЕ УДОБРЕНИЕ"", ""ПТИЧИЙ ПОМЕТ"", ""КАЛ, ИСПРАЖНЕНИЯ"", ""ОРГАНИЧЕСКОЕ УДОБРЕНИЕ"", ""ПТИЧИЙ ПОМЕТ"", ""КАЛ, ИСПРАЖНЕНИЯ"", ""ОРГАНИЧЕСКОЕ УДОБРЕНИЕ"", ""ПТИЧИЙ ПОМЕТ"", ""КАЛ, ИСПРАЖНЕНИЯ"", ""ОРГАНИЧЕСКОЕ УДОБРЕНИЕ"", ""ПТИЧИЙ ПОМЕТ"", ""КАЛ, ИСПРАЖНЕНИЯ"", ""ОРГАНИЧЕСКОЕ УДОБРЕНИЕ"", ""ПТИЧИЙ ПОМЕТ"", ""ПОМЕСТИТЬ, НАЙТИ МЕСТО"", ""ПРИНУДИТЬ, ЗАСТАВИТЬ"", ""УЛОЖИТЬ, ЗАСТАВИТЬ ЛЕЧЬ"", ""КАЛ, ИСПРАЖНЕНИЯ"", ""ОРГАНИЧЕСКОЕ УДОБРЕНИЕ"", ""ПТИЧИЙ ПОМЕТ"", ""ПОМЕСТИТЬ, НАЙТИ МЕСТО"", ""ПРИНУДИТЬ, ЗАСТАВИТЬ"", ""УЛОЖИТЬ, ЗАСТАВИТЬ ЛЕЧЬ"", ""КАЛ, ИСПРАЖНЕНИЯ"", ""ОРГАНИЧЕСКОЕ УДОБРЕНИЕ"", ""ПТИЧИЙ ПОМЕТ"", ""КАЛ, ИСПРАЖНЕНИЯ"", ""ОРГАНИЧЕСКОЕ УДОБРЕНИЕ"", ""ПТИЧИЙ ПОМЕТ"", ""ПОМЕСТИТЬ, НАЙТИ МЕСТО"", ""ПРИНУДИТЬ, ЗАСТАВИТЬ"", ""УЛОЖИТЬ, ЗАСТАВИТЬ ЛЕЧЬ"", ""КАЛ, ИСПРАЖНЕНИЯ"", ""ОРГАНИЧЕСКОЕ УДОБРЕНИЕ"", ""ПТИЧИЙ ПОМЕТ"", ""КАЛ, ИСПРАЖНЕНИЯ"", ""ОРГАНИЧЕСКОЕ УДОБРЕНИЕ"", ""ПТИЧИЙ ПОМЕТ"", ""ПОМЕСТИТЬ, НАЙТИ МЕСТО"", ""ПРИНУДИТЬ, ЗАСТАВИТЬ"", ""УЛОЖИТЬ, ЗАСТАВИТЬ ЛЕЧЬ"", ""КАЛ, ИСПРАЖНЕНИЯ"", ""ОРГАНИЧЕСКОЕ УДОБРЕНИЕ"", ""ПТИЧИЙ ПОМЕТ"", ""ГРЯЗЬ (ВЕЩЕСТВО)"", ""ТВЕРДЫЕ ОТХОДЫ"", ""МУСОР""]"
4007,🚰,"['питьевая вода', 'жажду', 'жажда', 'водопровод']","[""3675-N"", ""114273-N"", ""121731-N"", ""106928-N"", ""106462-N"", ""106476-N"", ""6489-N"", ""146366-N"", ""490-N""]","[""ЖИДКОСТЬ"", ""ВОДА (ЖИДКОСТЬ)"", ""ВОДОРОДНОЕ СОЕДИНЕНИЕ"", ""ЖИДКОСТЬ"", ""ВОДА (ЖИДКОСТЬ)"", ""ВОДОРОДНОЕ СОЕДИНЕНИЕ"", ""ЖИДКОСТЬ"", ""ВОДА (ЖИДКОСТЬ)"", ""ВОДОРОДНОЕ СОЕДИНЕНИЕ"", ""ЖАЖДА, ЖЕЛАНИЕ ПИТЬ"", ""ПОТРЕБНОСТЬ, НАДОБНОСТЬ, НУЖДА"", ""СТРЕМЛЕНИЕ, ЖЕЛАНИЕ"", ""ЖИДКОСТЬ"", ""ВОДА (ЖИДКОСТЬ)"", ""ВОДОРОДНОЕ СОЕДИНЕНИЕ"", ""ЖАЖДА, ЖЕЛАНИЕ ПИТЬ"", ""ПОТРЕБНОСТЬ, НАДОБНОСТЬ, НУЖДА"", ""СТРЕМЛЕНИЕ, ЖЕЛАНИЕ"", ""ВОДОХОЗЯЙСТВЕННОЕ СООРУЖЕНИЕ"", ""ТРУБА, ТРУБОПРОВОД"", ""ВОДОПРОВОДНАЯ СЕТЬ""]"
4008,♿,"['символ инвалидного кресла', 'доступная ванная комната']","[""107585-N"", ""107519-N"", ""107210-N"", ""106573-N""]","[""СИМВОЛ (УСЛОВНЫЙ ЗНАК)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""КОМНАТА (ПОМЕЩЕНИЕ)"", ""ПОМЕЩЕНИЕ, ВНУТРЕННОСТЬ ЗДАНИЯ""]"
4009,🚹,"['мужчины', 'мужской туалет', 'мужской туалет']","[""2453-A"", ""153536-A"", ""2553-A"", ""120599-N"", ""129993-N"", ""2453-A"", ""153536-A"", ""2553-A"", ""120599-N"", ""129993-N""]","[""МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА"", ""ВЗРОСЛЫЙ МУЖЧИНА"", ""СОВЕРШЕННОЛЕТНИЙ, ВЗРОСЛЫЙ ЧЕЛОВЕК"", ""МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА"", ""ВЗРОСЛЫЙ МУЖЧИНА"", ""СОВЕРШЕННОЛЕТНИЙ, ВЗРОСЛЫЙ ЧЕЛОВЕК"", ""УБОРНАЯ, ТУАЛЕТ"", ""ПОДСОБНОЕ ПОМЕЩЕНИЕ"", ""МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА"", ""ВЗРОСЛЫЙ МУЖЧИНА"", ""СОВЕРШЕННОЛЕТНИЙ, ВЗРОСЛЫЙ ЧЕЛОВЕК"", ""УБОРНАЯ, ТУАЛЕТ"", ""ПОДСОБНОЕ ПОМЕЩЕНИЕ"", ""МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА"", ""ВЗРОСЛЫЙ МУЖЧИНА"", ""СОВЕРШЕННОЛЕТНИЙ, ВЗРОСЛЫЙ ЧЕЛОВЕК"", ""МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА"", ""ВЗРОСЛЫЙ МУЖЧИНА"", ""СОВЕРШЕННОЛЕТНИЙ, ВЗРОСЛЫЙ ЧЕЛОВЕК"", ""УБОРНАЯ, ТУАЛЕТ"", ""ПОДСОБНОЕ ПОМЕЩЕНИЕ"", ""МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА"", ""ВЗРОСЛЫЙ МУЖЧИНА"", ""СОВЕРШЕННОЛЕТНИЙ, ВЗРОСЛЫЙ ЧЕЛОВЕК"", ""УБОРНАЯ, ТУАЛЕТ"", ""ПОДСОБНОЕ ПОМЕЩЕНИЕ""]"
